rollout/ep_len_mean,time/iterations,time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_rew_mean,train/value_loss,train/advantages,train/clip_range,train/learning_rate,train/explained_variance,train/n_updates,train/returns,train/policy_gradient_loss,train/std,train/entropy_loss,train/approx_kl,train/loss,train/clip_fraction
64.35483870967742,1,3,625,2048,-21.500635322580646,,,,,,,,,,,,,
64.84126984126983,2,7,584,4096,-21.74281988888889,20.827718736231326,-5.6776227951049805,0.2,0.0003,0.03761786222457886,10,-5.381184101104736,-0.003928445191559149,0.9952747225761414,-4.249332198500634,0.0048663868,4.5489420890808105,0.025
65.7741935483871,3,10,573,6144,-22.125955451612906,9.790916310623288,-4.460328102111816,0.2,0.0003,0.03763699531555176,20,-8.621211051940918,-0.0067887113669712566,0.9878055453300476,-4.231268329918384,0.008176382,2.4929075241088867,0.05283203125
68.95,4,14,567,8192,-23.95102976,9.125046486407518,-3.081171751022339,0.2,0.0003,0.3291015625,30,-10.488394737243652,-0.011072002554283245,0.9813852310180664,-4.2084728389978405,0.008521352,4.205267906188965,0.067626953125
69.9,5,18,558,10240,-24.616832210000002,22.345157612860202,-1.83517324924469,0.2,0.0003,0.22010886669158936,40,-11.894652366638184,-0.009790561988484114,0.9750445485115051,-4.188984717428684,0.0076587694,2.364640951156616,0.0615234375
71.41,6,22,552,12288,-26.16014115,9.34599461182952,-1.774172067642212,0.2,0.0003,0.39599621295928955,50,-12.686184883117676,-0.011521773612366814,0.9706869125366211,-4.1732130467891695,0.011260032,3.4762346744537354,0.12470703125
74.86,7,26,550,14336,-33.639625079999995,21.217964243888854,-1.1137007474899292,0.2,0.0003,0.24952995777130127,60,-13.095186233520508,-0.01097899383166805,0.9659867286682129,-4.157381398975849,0.007186235,4.881397247314453,0.054150390625
74.11,8,29,547,16384,-32.338410120000006,153.4978149652481,-6.557180404663086,0.2,0.0003,0.3232426047325134,70,-21.89444351196289,-0.005392617099278141,0.9696597456932068,-4.15683965086937,0.0035255523,55.01401901245117,0.02392578125
75.32,9,33,547,18432,-32.16810055,5.101898629590869,0.37223488092422485,0.2,0.0003,0.3691270351409912,80,-14.396238327026367,-0.01436190379827167,0.963970959186554,-4.1602679446339605,0.011083804,1.0762057304382324,0.141748046875
75.69,10,37,547,20480,-30.592989330000005,4.092483685351908,-0.30132272839546204,0.2,0.0003,0.37727153301239014,90,-13.864818572998047,-0.01616065894049825,0.956758439540863,-4.13900904506445,0.012162479,0.7924878597259521,0.137841796875
72.23,11,41,548,22528,-21.66727588,2.4657690528780223,-0.10960214585065842,0.2,0.0003,0.5539361834526062,100,-12.544760704040527,-0.010472518505412153,0.9470282196998596,-4.1044901117682455,0.010739796,0.789440929889679,0.123486328125
70.94,12,44,549,24576,-22.40001548,3.358654373884201,-0.7913355827331543,0.2,0.0003,0.5743178725242615,110,-12.96697998046875,-0.011084754289186094,0.934934139251709,-4.068561147153377,0.008100381,1.3248507976531982,0.080029296875
69.81,13,48,549,26624,-22.443841700000004,3.3249968234449625,-1.1639683246612549,0.2,0.0003,0.5980898141860962,120,-14.452149391174316,-0.010108468982798513,0.9346970915794373,-4.055769644677639,0.0071822563,1.1743748188018799,0.0740234375
70.91,14,52,550,28672,-22.342482909999998,2.348436963185668,-0.13466574251651764,0.2,0.0003,0.6958281993865967,130,-13.129535675048828,-0.007217234550626017,0.9309503436088562,-4.04902868270874,0.0073757856,1.077743649482727,0.065380859375
71.98,15,55,550,30720,-22.43078133,2.067024775221944,-0.2338358759880066,0.2,0.0003,0.7138288617134094,140,-13.230090141296387,-0.011624627964920364,0.929360568523407,-4.039241787791252,0.009467853,0.7721083760261536,0.08720703125
74.02,16,59,551,32768,-22.10961145,2.8702300738543274,0.007558844983577728,0.2,0.0003,0.5339171886444092,150,-13.632742881774902,-0.008288698698743246,0.9276535511016846,-4.034513464570045,0.0050910646,1.2568788528442383,0.051611328125
73.96,17,63,551,34816,-22.066939289999997,1.9946475327014923,-0.36325281858444214,0.2,0.0003,0.649468332529068,160,-13.546476364135742,-0.009765782840258908,0.9381319880485535,-4.0513587042689325,0.006090087,0.5248531103134155,0.06318359375
73.36,18,66,551,36864,-22.139735720000004,1.4130550749599933,-0.18973898887634277,0.2,0.0003,0.7730271220207214,170,-13.862226486206055,-0.010141606192337348,0.9330125451087952,-4.056394006311893,0.0076860813,0.5506247878074646,0.06865234375
75.14,19,70,552,38912,-21.701178780000006,1.557152352668345,0.015598971396684647,0.2,0.0003,0.7961436361074448,180,-14.004281997680664,-0.012548607875942253,0.9380705952644348,-4.058864326775074,0.0077348053,0.4873204231262207,0.07646484375
74.41,20,74,552,40960,-21.64416278,1.0469869838096202,0.11197704821825027,0.2,0.0003,0.8331933915615082,190,-13.730939865112305,-0.01204673320899019,0.9342195987701416,-4.058354733884334,0.0067498623,0.5317087173461914,0.087353515625
75.9,21,77,552,43008,-20.819404799999997,1.6166310550644993,-0.05648528411984444,0.2,0.0003,0.7604807317256927,200,-13.176681518554688,-0.012658552793436684,0.9282886385917664,-4.041053541004658,0.0071897726,0.6655930876731873,0.076123046875
77.19,22,81,553,45056,-20.887962629999997,1.0839775593951344,0.3341579735279083,0.2,0.0003,0.7888194471597672,210,-12.979793548583984,-0.010069237767311279,0.9293503761291504,-4.032993397116661,0.007402848,0.31976261734962463,0.07568359375
76.32,23,85,553,47104,-20.90372933,1.8551312558352948,-0.04321502894163132,0.2,0.0003,0.6137872040271759,220,-12.920478820800781,-0.00955887010495644,0.9432069659233093,-4.056130422651767,0.005755794,0.5847315192222595,0.053466796875
76.51,24,88,554,49152,-21.586866439999998,1.67331607863307,-0.26168060302734375,0.2,0.0003,0.6974839568138123,230,-12.663601875305176,-0.01234456374659203,0.9461447596549988,-4.085630282759666,0.008833083,0.49327224493026733,0.07998046875
81.78,25,92,554,51200,-29.652445010000005,13.406848734617233,-3.250434160232544,0.2,0.0003,-0.17406392097473145,240,-14.67473030090332,-0.006735357061552349,0.9525564312934875,-4.09757372289896,0.005462,6.66886043548584,0.033642578125
81.01,26,95,554,53248,-29.476298839999995,21.982420258969068,-4.758485794067383,0.2,0.0003,0.4497613310813904,250,-20.28940200805664,-0.006718552099482622,0.9517976641654968,-4.108673106133938,0.0046083806,10.367892265319824,0.022314453125
81.49,27,99,555,55296,-29.825367980000006,3.2445636428892612,0.18821437656879425,0.2,0.0003,0.5232535600662231,260,-14.549036026000977,-0.009342818515142426,0.9437360763549805,-4.095361441373825,0.0058428384,0.9868646264076233,0.051318359375
83.62,28,103,555,57344,-29.93640471,2.12646688260138,0.1442033052444458,0.2,0.0003,0.6956600844860077,270,-13.693663597106934,-0.009916817345219897,0.939670979976654,-4.074137099087238,0.006408117,0.7503989934921265,0.049169921875
79.1,29,106,555,59392,-22.008337700000006,2.7438515696674584,0.24410001933574677,0.2,0.0003,0.6734227538108826,280,-14.055493354797363,-0.009851374798745382,0.9365806579589844,-4.060475371778011,0.0091326125,0.4795881509780884,0.06142578125
80.22,30,110,555,61440,-22.216097279999996,1.2718776723369956,0.1032065898180008,0.2,0.0003,0.7928882390260696,290,-13.567975044250488,-0.01375907356996322,0.9351251125335693,-4.053763444721699,0.0089334855,0.5463302135467529,0.12353515625
80.98,31,114,556,63488,-22.021135689999998,1.2575925705954432,0.1249474436044693,0.2,0.0003,0.7137112617492676,300,-13.532500267028809,-0.010291870556829962,0.9363782405853271,-4.05221634209156,0.008105078,0.4206451177597046,0.069580078125
78.45,32,117,556,65536,-21.396940759999996,1.4026947373524308,-0.2991929054260254,0.2,0.0003,0.6875899434089661,310,-13.288605690002441,-0.012543553797877393,0.9412615895271301,-4.0617719948291775,0.0086048655,0.5986364483833313,0.08310546875
80.17,33,121,556,67584,-21.774155,1.7043330548331141,-0.505432665348053,0.2,0.0003,0.7095832228660583,320,-12.697656631469727,-0.010971683645038866,0.9353938698768616,-4.058506783843041,0.008622497,0.5250019431114197,0.076220703125
79.39,34,125,556,69632,-21.53305004,1.5645098363980652,-0.4774123430252075,0.2,0.0003,0.8021455854177475,330,-13.648980140686035,-0.010240645719750318,0.9384897351264954,-4.056454381346702,0.0080087,0.7862840294837952,0.078125
80.29,35,128,556,71680,-21.25922228,1.0832434020005166,-0.20097476243972778,0.2,0.0003,0.7904946506023407,340,-13.172656059265137,-0.01584695247875061,0.9464259147644043,-4.077475309371948,0.009471213,0.39942964911460876,0.115869140625
83.01,36,132,557,73728,-21.150414510000004,1.4128266291692853,-0.27346062660217285,0.2,0.0003,0.6709888279438019,350,-12.69426441192627,-0.008513749158009887,0.9431172013282776,-4.082005041837692,0.009036014,0.4180434048175812,0.082373046875
81.81,37,135,557,75776,-20.764938469999997,0.9376255484297872,-0.034670304507017136,0.2,0.0003,0.7817156761884689,360,-11.812834739685059,-0.01169618528947467,0.9483475089073181,-4.083729054033756,0.0077790115,0.318107932806015,0.0953125
83.57,38,139,557,77824,-21.43614144,1.237759909965098,-0.2516079545021057,0.2,0.0003,0.7470049560070038,370,-12.332833290100098,-0.008660979387059342,0.9492435455322266,-4.0938997089862825,0.00638784,0.37687814235687256,0.059521484375
81.32,39,143,557,79872,-21.52279769,1.786389990709722,-0.8009927272796631,0.2,0.0003,0.6018793284893036,380,-13.472270965576172,-0.011742381812655366,0.9541952610015869,-4.09991962313652,0.008811338,0.49513691663742065,0.066259765625
82.48,40,146,557,81920,-21.94890315,1.8886723408475519,-0.15572580695152283,0.2,0.0003,0.693226546049118,390,-13.013955116271973,-0.01249989215284586,0.9524798393249512,-4.103613668680191,0.008432045,0.5611841678619385,0.10068359375
83.38,41,150,558,83968,-22.230269479999993,1.1314219010993838,-0.045971885323524475,0.2,0.0003,0.7652093917131424,400,-12.834046363830566,-0.012526024236285594,0.942704975605011,-4.086284713447094,0.0084299315,0.3423638343811035,0.090234375
84.47,42,154,558,86016,-22.083761680000002,1.5659306215122342,0.10100790858268738,0.2,0.0003,0.7486976385116577,410,-12.107612609863281,-0.009158816293347628,0.9384415745735168,-4.06585164964199,0.0066661956,0.4339015483856201,0.08017578125
