x,y,z,err
1.0,0.0,0.0,2.0963192
0.96343905,-0.061842725,0.066571616,1.0464038
0.9102539,-0.106924914,0.13713112,0.5070651
0.86480385,-0.17988774,0.20660229,0.2454732
0.8198504,-0.24965893,0.27561963,0.12174161
0.77188075,-0.27461886,0.34479287,0.057193644
0.7173052,-0.2902473,0.4141491,0.033289317
0.66565245,-0.3097486,0.48326916,0.044959947
0.6144456,-0.29718304,0.5522483,0.048689272
0.56104773,-0.2552365,0.6216002,0.038005214
0.5090781,-0.22568472,0.690454,0.036731347
0.45093566,-0.21042426,0.7602187,0.041361444
0.39496267,-0.18856099,0.82919586,0.04212166
0.3375374,-0.151833,0.89811534,0.040262662
0.2802828,-0.09451903,0.96755344,0.047493402
0.21598114,-0.040939793,1.0113255,0.05402344
0.15823987,-0.030489622,0.9942969,0.04488362
0.095918186,-0.028479407,1.0299519,0.045330252
0.035064336,0.0026779938,1.0292131,0.04873335
-0.01611372,-0.011833524,1.0085862,0.054689154
-0.04640614,0.001931376,0.97988355,0.052191768
-0.010844722,0.027056262,0.9800888,0.052815303
-0.016927535,-0.008608474,0.95813185,0.046759255
-0.024655031,0.0057833684,0.9523452,0.048918057
-0.006016352,-0.007097199,0.94688064,0.04969539
-0.045346756,-0.020962575,0.9530313,0.04174969
-0.046754315,-0.021911547,0.9757491,0.046745196
-0.031167107,-0.045933105,0.9592675,0.0451439
-0.025971195,-0.008502257,0.9998739,0.04282843
-0.032793228,0.014509907,0.98676425,0.045411766
-0.021602884,-0.045731332,0.9816491,0.041629236
-0.024340643,-0.01580563,0.9768957,0.042647574
-0.017062211,-0.031981245,0.970477,0.04248778
-0.02979625,-0.035511047,0.99717754,0.041510135
-0.037649207,-0.014339944,0.9951915,0.046238165
-0.03495889,-0.039642006,0.99268025,0.040841088
-0.030490918,-0.021447156,0.9823939,0.042168736
-0.02401872,-0.020331558,0.98938787,0.04158538
-0.010156992,0.0064384043,0.9632397,0.04218844
-0.043118134,-0.03947599,0.95722,0.043634575
-0.027963733,-0.008603319,0.99057543,0.04184672
0.00086980005,0.011778334,0.9807018,0.047213335
-0.0154139185,-0.029583912,0.97783756,0.04139909
-0.023720417,-0.04705862,0.975432,0.04330113
-0.004127306,-0.018270543,0.970516,0.043540463
-0.011157534,-0.0007303475,0.97440094,0.04190855
-0.017737402,0.0071679717,0.9737121,0.044980407
-0.03219836,-0.0075721745,0.958222,0.046890903
-0.04172562,-0.04543542,0.9614834,0.040999595
-0.03172643,-0.013697617,0.97347933,0.042365547
-0.024999455,-0.036570728,0.9892718,0.04316462
-0.029266264,-0.009970093,0.97072196,0.04033541
-0.029668389,-0.024115505,0.9686615,0.040237907
-0.021420825,-0.030893419,0.96509665,0.0401366
-0.052603822,-0.03394761,0.9798178,0.040736165
-0.026889902,-0.038055092,0.9843515,0.040247202
-0.04405763,-0.040471494,0.98227775,0.0419455
-0.029656516,-0.013505949,0.9726589,0.04238328
-0.016857559,-0.025824776,0.95858955,0.04112824
-0.026210371,-0.03339375,0.9639582,0.043766957
-0.0143808,0.0054997653,0.95111746,0.041184284
-0.014634825,-0.034510173,0.9587184,0.042464063
-0.03566157,-0.0009820064,0.9549435,0.041647132
-0.034121547,-0.0019250141,0.95222163,0.042060617
-0.044785224,-0.035971962,0.96083945,0.039837975
-0.008785983,-0.049944114,0.9484593,0.044241793
-0.025201075,-0.0061551724,0.95018274,0.04113744
-0.0046749394,-0.0012182315,0.9543839,0.043265402
-0.019333337,-0.02653763,0.9319883,0.040961396
-0.033120487,-0.02398976,0.9848633,0.04001405
-0.049886383,-0.009946089,0.97069234,0.042890377
-0.04591829,-0.009851698,0.9477945,0.044454455
-0.026124962,-0.02814594,0.97034305,0.04072921
-0.017269315,0.0037608785,0.9694364,0.04304271
-0.013800839,-0.025826031,0.96412325,0.042172145
0.0059198407,-0.022765761,0.96739686,0.04469657
-0.034368813,-0.042994108,0.96106863,0.048493464
-0.016131006,-0.0050675473,0.97446847,0.040729456
-0.0038712039,0.00915786,0.95551383,0.04426824
-0.021509377,-0.0020326376,0.9610641,0.049599517
-0.051307112,-0.004880725,0.95633143,0.0491013
-0.017283715,-0.033697277,0.97274125,0.040806517
-0.031138366,-0.025456585,0.95428604,0.040869728
-0.0028282576,-0.014668392,0.95002323,0.045060765
0.0036490436,-0.036622595,0.9892191,0.043073885
0.008718643,-0.07291271,1.0057786,0.043464817
-0.007595391,-0.02543597,0.9873151,0.04163192
0.0036293655,-0.04847137,0.9782133,0.04358037
-0.0135118,-0.045653425,0.99195755,0.04725963
0.012254863,-0.065608,0.9871834,0.04757084
0.0127138095,-0.05736077,0.99422324,0.047596138
0.025981242,-0.017369159,0.9882304,0.041467205
0.026114939,-0.027783396,0.9958829,0.041280977
0.00502144,-0.013692167,0.9820751,0.044690877
0.02646231,-0.042265475,0.96875864,0.040853042
-0.0004232365,-0.04539533,0.98472995,0.041436944
0.02382006,-0.059620302,1.0038701,0.0414605
0.0053076893,-0.06973181,0.9979466,0.041595478
-0.0048932405,-0.02625035,0.9834962,0.04512469
-0.00083546527,-0.0067335228,0.98591065,0.050963078
