x,y,z,err
1.0,0.0,0.0,2.1574514
0.94652617,-0.050635345,0.04843311,1.0775306
0.8888617,-0.09494988,0.09778019,0.5341541
0.8253089,-0.1452299,0.1474917,0.25846514
0.7487848,-0.20744574,0.20879433,0.10501758
0.6396686,-0.28263184,0.29570186,0.05431994
0.54902154,-0.25266474,0.3832083,0.06592066
0.43202847,-0.20095168,0.4897159,0.12968351
0.36375797,-0.18723918,0.5746369,0.10284182
0.27479458,-0.14803638,0.665983,0.11169476
0.23668678,-0.17679916,0.71462107,0.04644353
0.19545199,-0.18127434,0.76408917,0.03860319
0.14928752,-0.14602958,0.81412697,0.033077717
0.09940162,-0.124480546,0.86473894,0.032127153
0.028671024,-0.084199,0.928601,0.028334785
0.054576304,-0.050706893,0.98847145,0.020207008
0.025205167,-0.013949532,1.0394998,0.019325985
0.01738322,-0.045074765,1.0640723,0.010139315
0.030002965,-0.02233625,1.0683933,0.01472671
0.04179897,-0.01450603,1.0666335,0.010076725
-0.002421124,-0.035200555,1.0589472,0.02158508
0.02722944,-0.008936584,1.0470012,0.008232573
0.024133392,-0.0029559233,1.0560815,0.01360402
0.017380835,-0.0027449313,1.0554048,0.015578503
0.024010241,-0.022759713,1.0668707,0.020830713
0.039691433,0.0080477325,1.0388333,0.009761013
0.029518219,-0.0045592696,1.0356497,0.01481163
0.019085398,0.0171635,1.045232,0.022601673
0.034735158,-0.026219137,1.03739,0.0030037633
0.012743208,-0.030216323,1.0501853,0.020001959
0.008698572,-0.009084267,1.0600916,0.02187041
0.016165875,0.03692056,1.0421299,0.010375615
0.021724438,-0.0003576379,1.0463852,0.0075280326
0.022685615,0.0061943294,1.0612186,0.014016644
0.01819397,-0.016004624,1.0646086,0.012112085
0.00936108,-0.02393948,1.0581654,0.0041463245
0.037687007,-0.017152613,1.0573401,0.008171679
0.03095537,0.012199402,1.0506784,0.011534742
0.03277968,-0.0035237477,1.0508842,0.004289603
0.02587507,-0.0102983955,1.0393192,0.014339217
0.032051943,-0.041691046,1.0475689,0.018331876
0.028631568,-0.013582091,1.0636333,0.00683629
0.010396354,0.009294279,1.054478,0.020497125
0.017596498,-0.011425163,1.0413146,0.009000314
0.037828848,-0.01013634,1.0650504,0.015365846
0.0060007297,-0.001388369,1.0709454,0.005119007
0.013525661,-0.03322879,1.0560098,0.0063869637
0.015158779,-0.02003605,1.0632224,0.008227728
0.024760108,-2.8838187e-05,1.07144,0.013889692
0.026383404,-0.022983234,1.0394788,0.008483288
0.052552518,-0.0063455794,1.0615385,0.010694435
0.025198236,-0.004973844,1.0495377,0.013910349
0.02917336,0.0097258985,1.0720615,0.01517537
0.02727426,0.02142387,1.0533174,0.025994992
0.027556395,0.025143879,1.0567617,0.027179265
0.02907593,-0.03158377,1.0637202,0.0034804377
0.020973876,0.0025383136,1.057821,0.016805142
0.011162054,0.012078525,1.038252,0.020453433
0.01727925,-0.018498873,1.066913,0.009086866
0.024800492,-0.017598432,1.0560162,0.016692908
0.019435776,-0.007518577,1.0758976,0.018762795
0.033789553,-0.016498014,1.0468149,0.017828543
0.03421423,0.016347962,1.0556765,0.013470179
0.010980479,0.0007087192,1.0538485,0.010745116
0.019176124,0.005054543,1.051244,0.006617156
0.015711127,0.002795151,1.0515807,0.004589254
0.022750571,-0.003992424,1.0384806,0.005766422
0.02955537,0.015894938,1.0593411,0.019617312
0.0080753155,0.009475164,1.0490224,0.0035486452
0.020848373,0.014324436,1.0458149,0.017267749
0.027467534,0.010077424,1.0590773,0.016958402
0.027885402,0.0020647487,1.0718375,0.015638076
0.027140766,-0.03161104,1.0819876,0.01625016
0.010048022,-0.033627853,1.0714658,0.02370954
0.02114932,-0.05519443,1.0834646,0.022773104
0.022271456,-0.04120387,1.0816689,0.022642449
0.024001636,-0.010669564,1.0578837,0.015979642
0.01743171,-0.023520265,1.0508949,0.015128185
0.03943158,-0.016246364,1.0512613,0.005319889
-0.0043634833,0.014334343,1.0400611,0.0052649304
0.031923898,0.01662999,1.0221717,0.019720526
0.026241701,-0.017417232,1.0382912,0.0042939717
0.044165052,-0.012623603,1.0388594,0.015539659
0.027646786,0.01826119,1.0513365,0.024967644
0.01755679,-0.0061056498,1.0408036,0.0056698807
0.014113205,0.004752118,1.0322846,0.017377362
0.018836973,-0.022254711,1.0391946,0.012365569
0.019137733,-0.023512822,1.0665351,0.007257328
0.014945524,0.003998592,1.0444834,0.011644928
0.043029133,0.016304817,1.0530858,0.023406923
0.048102386,-0.02794233,1.0401266,0.0053275353
0.030791394,-0.009006774,1.0592705,0.0087841805
0.022370618,-0.01740659,1.0422715,0.014053634
0.028741853,0.018285234,1.0392182,0.009782499
0.04135325,0.0064250086,1.0608975,0.015861703
0.028960917,0.009566526,1.0493613,0.015793784
0.057980713,-0.012080273,1.0357473,0.008450717
0.018748036,-0.0138340825,1.06284,0.008915827
0.021592079,-0.02489515,1.0683876,0.016118106
0.04343191,0.0042050406,1.0603173,0.015928984
