x,y,z,err
1.0,0.0,0.0,2.172023
0.93845075,-0.03914541,0.06448766,1.0676398
0.87439096,-0.084222935,0.12887527,0.5137753
0.8287666,-0.13482729,0.1938908,0.24972096
0.7817142,-0.18220578,0.25899917,0.11769815
0.7116362,-0.21142197,0.32337907,0.034152374
0.64722925,-0.24364148,0.40163457,0.026904004
0.5673639,-0.20961264,0.49314192,0.06163045
0.50398755,-0.22359493,0.55901474,0.0502917
0.4374131,-0.22503304,0.62349194,0.04671833
0.38741007,-0.21098843,0.6883631,0.0361278
0.32490715,-0.18041614,0.7529992,0.036871474
0.2652467,-0.14954537,0.81757987,0.035926715
0.19379188,-0.114895485,0.8815326,0.042733926
0.13126868,-0.08683856,0.9457887,0.040561482
0.059604954,-0.04512802,1.0103011,0.04691729
0.037267882,0.0025302297,1.0344816,0.03757381
0.07201191,-0.014594917,1.0176605,0.01797256
0.044730376,-0.0061687552,1.0619519,0.02437643
0.0256945,-0.0020589328,1.074676,0.029291067
-0.009157397,0.013493309,1.0638455,0.036501996
0.0030505876,-0.0038417673,1.052329,0.039084297
-0.0025939497,-0.000915123,1.0339366,0.040593263
0.0016220065,-0.018913843,1.0396973,0.03369886
0.008377696,-0.02895807,1.0437642,0.0325771
0.022254124,-0.017304307,1.0519537,0.030873304
-0.003868725,-0.002857156,1.0578115,0.033066116
0.01697627,-0.043612853,1.0666593,0.030550169
0.014479991,-0.03688854,1.0714163,0.031794064
-0.0112190945,-0.026920194,1.0404526,0.0327833
0.008262113,-0.011482028,1.0517174,0.030284086
0.02745685,0.026892642,1.036184,0.032599427
0.03011869,0.010965723,1.0551194,0.028892413
0.015083041,-0.025618695,1.0474331,0.029833369
0.006749377,-0.017220609,1.0577625,0.030168796
0.0031150691,-0.033246294,1.0535313,0.029754011
0.025944192,-0.031335287,1.0563592,0.029264882
0.036848817,-0.020093197,1.0493771,0.030258806
0.018953448,-0.009134716,1.0536691,0.029849594
0.013161721,-0.021139633,1.0506765,0.0303139
-0.001055784,-0.017199554,1.0363086,0.029691702
0.013228313,-0.011413922,1.025111,0.031703535
-7.697064e-05,0.002808579,1.0699189,0.034412935
0.020858213,-0.017035743,1.0739039,0.02863153
0.008915074,-0.028226329,1.0516963,0.030323165
0.007905411,-0.03452702,1.0486737,0.031477053
-0.0039582504,-0.049831543,1.0614213,0.031091342
0.0028044893,-0.011474283,1.0310524,0.030105941
0.006584712,-0.027987082,1.0356649,0.029748896
0.009184852,-0.007648798,1.053294,0.02989836
-0.000948876,-0.009844914,1.0672712,0.030418152
0.014725115,0.013912841,1.0512025,0.03351465
-0.002199738,0.0037391682,1.0521146,0.037215218
0.00957573,0.0047848388,1.037438,0.03533064
0.0334411,-0.018538797,1.0287625,0.031947758
0.021926304,-0.0053973813,1.0413955,0.03156199
0.018092068,0.0028438773,1.0377263,0.033725113
0.009721283,-0.008231366,1.0492786,0.031237522
0.0068480815,-0.00692936,1.0767641,0.030657334
0.008319221,0.0022815876,1.0611475,0.031653047
0.0036168331,-0.008216716,1.0744482,0.03251382
0.0057551055,-0.0148532195,1.0560457,0.03080708
0.014581211,0.0009181974,1.0708245,0.02993519
0.013158632,-0.020134732,1.0617313,0.029661585
0.008031581,-0.010588735,1.0392432,0.029775126
0.0077208257,0.019887522,1.0533956,0.0296946
0.0073248115,0.025303511,1.0492374,0.031501684
0.01144914,0.015798876,1.0297792,0.032079972
0.011481857,0.0021747644,1.0165068,0.030444102
0.003708091,-0.033312336,1.0098414,0.022944182
0.040680595,-0.044046298,1.0232058,0.02692515
0.025794413,-0.022093397,1.0442541,0.032937493
0.0306292,-0.012322267,1.0681014,0.034517355
-0.008074933,-0.008374297,1.0563865,0.02970417
-0.0014527447,-0.00070550275,1.0473899,0.031911343
0.008651423,-0.023183795,1.0349704,0.030831413
0.010245469,-0.040758364,1.0319825,0.03228709
0.0036587582,-0.04136587,1.0569124,0.03352479
0.0046917256,-0.01024882,1.0497828,0.030453976
-0.0029539445,0.000300472,1.0558796,0.03223427
0.03843382,0.03979392,1.0262069,0.03589031
-0.0038469515,0.0063926918,1.0345167,0.027139219
0.010430225,-0.022555355,1.0506757,0.027401466
0.0031001517,-0.011252026,1.0691141,0.029779995
0.02721606,-0.014846961,1.0495929,0.033110186
0.01615977,-0.026794348,1.0559908,0.033707187
0.00804143,-0.012077638,1.0545211,0.029833393
-0.009154647,-0.049723677,1.0802963,0.032273356
0.002172358,-0.0050809667,1.071367,0.033620305
0.016915902,-0.006851773,1.0689709,0.032609854
0.007114461,-0.018092655,1.0726943,0.033263337
0.030449066,-0.004078064,1.0497379,0.030186603
0.029869344,-0.0028275466,1.0592388,0.029097002
0.0005676695,-0.0063357116,1.0464523,0.031356297
-0.0132146515,0.008859894,1.0573161,0.033503763
0.019378856,0.0054301904,1.0414916,0.033267643
0.021516263,0.00094580185,1.0373263,0.031170892
0.013303145,-0.006408859,1.0360584,0.02935007
0.012926513,-0.025601042,1.0395691,0.030532897
0.0214805,-0.039314356,1.0625352,0.03126172
