,dir,dist,mean_eps_reward,std_eps_reward,mean_step_reward,distance_travelled
0,x,[0. 0. 0.],-12.957140768063255,0.0,-0.12957140768063255,8.22943236002267
1,x,[0.05 0.   0.  ],-24.157691776985303,0.0,-0.24157691776985302,8.637095819166658
2,x,[0.1 0.  0. ],-47.41590125253424,0.0,-0.4741590125253424,7.910043115917684
3,x,[-0.  0.  0.],-12.957140768063255,0.0,-0.12957140768063255,7.027131787720478
4,x,[-0.05  0.    0.  ],-11.979557234793901,0.0,-0.11979557234793901,7.254672784208468
5,x,[-0.1  0.   0. ],-10.011404598597437,0.0,-0.10011404598597437,6.979729144484434
6,z,[0. 0. 0.],-12.957140768063255,0.0,-0.12957140768063255,8.152833732529885
7,z,[0.   0.   0.05],-11.752759363036603,0.0,-0.11752759363036602,5.903151699229479
8,z,[0.  0.  0.1],-695.5653489200631,0.0,-6.955653489200631,9.934822934313466
9,z,[ 0.  0. -0.],-12.957140768063255,0.0,-0.12957140768063255,8.26279834446997
10,z,[ 0.    0.   -0.05],-21.445365941151977,0.0,-0.21445365941151975,7.946579303686169
11,z,[ 0.   0.  -0.1],-193.86507153511047,0.0,-1.9386507153511048,0.9999929145908611
12,xyz,[0. 0. 0.],-12.957140768063255,0.0,-0.12957140768063255,6.813320715665228
13,xyz,[0.025 0.025 0.025],-16.813047958770767,0.0,-0.16813047958770766,7.971499423855447
14,xyz,[0.05 0.05 0.05],-21.41124295233749,0.0,-0.2141124295233749,0.4434171248512009
15,xyz,[-0. -0. -0.],-12.957140768063255,0.0,-0.12957140768063255,7.829034581533975
16,xyz,[-0.025 -0.025 -0.025],-16.464438215829432,0.0,-0.16464438215829433,7.796259762860805
17,xyz,[-0.05 -0.05 -0.05],-16.57084983785171,0.0,-0.16570849837851712,11.789782736801643
