x,y,z
1.0,0.0,0.0
0.7407124,-0.25795597,0.22662154
0.49852,-0.482469,0.45080626
0.35015917,-0.20963183,0.6125156
0.38674194,-0.14425918,0.6223574
0.40394923,-0.1439586,0.63827693
0.40805602,-0.17146738,0.6685433
0.3990834,-0.19980621,0.70062447
0.3764598,-0.18299808,0.7308562
0.3479936,-0.18330996,0.7666438
0.30804324,-0.13695699,0.78774655
0.2410103,-0.14128162,0.82568157
0.19586386,-0.062664516,0.8617741
0.15195164,-0.091725126,0.8529321
0.10603693,-0.042056777,0.8638264
0.035709184,-0.0022394075,0.85805595
0.010903331,-0.050146163,0.89455754
0.071755275,-0.0037923334,0.89517885
0.019224016,0.037532173,0.8505726
0.000109789646,0.046064414,0.8146017
-0.010542606,-0.017054455,0.8517164
0.047690336,0.025576346,0.8824515
0.010443524,0.04008007,0.8750744
0.0012539633,-0.022860358,0.91198397
0.03888411,0.022543453,0.8883431
0.030688051,-0.04112237,0.92532957
0.0762822,0.008098535,0.9125537
0.02246991,0.061172046,0.87171364
-0.045320094,0.010022132,0.8974546
-0.0065041105,0.017823244,0.9109372
0.049019862,-0.022112885,0.9473153
0.024892684,-0.0072620525,0.9147578
0.030371604,0.001617542,0.90320367
0.015337804,-0.056951493,0.9110394
0.075203314,-0.016492857,0.9288526
0.012536119,-0.015407899,0.9422798
0.04905652,-0.058175743,0.9788708
0.0760026,-0.009593841,0.9660751
0.0333196,-0.0538349,0.94585097
0.08713807,-0.0151549345,0.9223081
0.044486225,0.03301535,0.88304794
0.0247832,0.0025691171,0.8851517
0.015032303,-0.004143955,0.88919365
0.056812298,-0.01145184,0.92591983
0.021136317,0.062735386,0.87806046
0.0009996326,0.012664136,0.8855883
0.052372083,-0.011090325,0.92200476
0.049462654,-0.0665736,0.948011
0.07106378,-0.01985646,0.9022436
0.019203542,0.047235962,0.8608027
-0.02491507,-0.008842466,0.8955876
0.009752367,0.036820594,0.9222866
0.029372362,-0.018314512,0.9597512
0.083493836,0.03147665,0.93899184
0.037049804,0.009652123,0.8821305
-0.016968684,-0.04866723,0.92005926
0.038741928,0.012229348,0.95647174
0.029105073,0.0024858755,0.9110641
-0.002793438,-0.05934578,0.94228727
0.057301506,0.0036157575,0.97691464
0.012047775,-0.061121967,0.9486172
0.07595973,-0.023318877,0.92891216
0.04352099,0.021348875,0.8702231
0.027334558,0.022747846,0.8652179
0.033424813,0.03789681,0.8582182
0.00885468,0.0046704025,0.8858331
0.055986475,-0.017781876,0.9222872
0.019405214,-0.06632779,0.92973757
0.07269097,-0.009508087,0.94615096
0.02075599,-0.05499658,0.94566524
0.039465267,-0.0012761515,0.973493
0.009017718,-0.06465454,0.9647922
0.067890726,-0.030020665,0.97221255
0.06996973,0.017733587,0.90896845
0.013760183,-0.00022141892,0.8847057
0.076343425,-0.011881531,0.92176217
0.047334526,0.029597424,0.9011124
0.027035477,-0.002366597,0.8909329
0.06161,0.023646772,0.9085688
0.009597203,0.04073529,0.8712049
-0.0033446113,-0.020042244,0.908382
0.030430315,0.032552112,0.8994665
0.052058294,-0.021620652,0.922379
0.025532708,0.027331717,0.8647005
0.027890118,-0.018442933,0.89907026
0.08533688,0.029835884,0.892154
0.01912385,-0.026271567,0.8698369
0.07689738,0.018663468,0.9066225
0.027966235,-0.023963228,0.8977241
0.09029522,0.022891175,0.89114976
0.039382786,-0.030321242,0.8774459
0.067928955,0.0096833585,0.85352474
0.021017674,-0.029457953,0.8769518
0.030220743,0.022765357,0.8438335
0.059075996,0.0052193217,0.8803331
0.026540624,0.04322903,0.85505605
0.0007336469,-0.00022848413,0.881882
0.024977645,-0.03399345,0.90489066
0.043809015,-0.077999644,0.9413105
0.04894313,-0.023896156,0.9258389
