x,y,z
1.0,0.0,0.0
0.7276277,-0.2668198,0.23985797
0.4986732,-0.47544175,0.46199346
0.4097826,-0.27446133,0.5754486
0.41355458,-0.20512885,0.61740124
0.415685,-0.1916624,0.6605565
0.4056239,-0.21188523,0.70475453
0.38086691,-0.23751795,0.7499125
0.35429668,-0.22691841,0.7959675
0.32147834,-0.21090823,0.84291077
0.27752095,-0.1955747,0.8906361
0.23311768,-0.210359,0.93905437
0.18141735,-0.15030903,0.9640154
0.12891428,-0.114190884,1.0119734
0.06500399,-0.17315373,1.0621316
0.06364301,-0.12514687,1.1128527
0.04781355,-0.07507357,1.117988
0.006080754,-0.06459463,1.1360724
0.04245342,-0.028286658,1.137513
0.0050795246,-0.02426382,1.0874428
-0.033780154,-0.07949419,1.13763
0.021764517,-0.031105591,1.1506543
-0.021363957,-0.084396906,1.1611927
0.01644826,-0.03514945,1.1509936
0.0054225656,-0.055538084,1.1239417
0.03449273,-0.0032533682,1.110461
-0.01703719,-0.051498175,1.1600958
0.031130256,-0.016812481,1.1404234
-0.02437306,-0.05624648,1.1295941
0.015151915,0.0019182968,1.078103
-0.016040793,-0.028669761,1.0425258
0.02817262,0.01886208,1.0060022
-0.010928499,-0.025399003,1.0538431
0.045894116,-0.02298415,1.0969933
0.006404649,-0.054411046,1.0762585
0.04121399,-0.050917532,1.0984735
-0.0050734365,-0.09986069,1.1476378
0.050361834,-0.043321498,1.1338892
0.0026023046,-0.061046787,1.1260297
-0.0033589695,-0.11895204,1.1754258
0.05544513,-0.07716521,1.1622318
0.018866494,-0.08330258,1.190063
0.073164195,-0.023893673,1.1389762
0.010850941,-0.045697678,1.0977482
0.046959583,0.014168644,1.0451977
-0.017690726,-0.03217582,1.0827941
0.03637634,0.015799807,1.0455061
-0.021933233,-0.030553441,1.0606381
0.016061766,-0.024830624,1.0441284
0.007662362,-0.023135513,1.0209686
0.007672008,-0.034460332,1.017556
0.01831008,-0.10267402,1.0653471
0.06681533,-0.06093471,1.1057323
0.011758559,-0.06940825,1.1154075
0.038825482,-0.012256716,1.1378227
0.011727458,-0.024788119,1.0861706
-0.0031658162,-0.079120904,1.1348712
0.061560474,-0.030995589,1.1587431
0.018522551,-0.08583583,1.1883727
0.0467433,-0.036359236,1.1820462
0.007074716,-0.076309346,1.147804
0.045856092,-0.050763763,1.1740668
0.017818626,-0.09258025,1.1733078
0.074478745,-0.048619915,1.1216704
0.034066577,-0.10541448,1.158018
0.036810834,-0.09247681,1.2050824
0.043128297,-0.118945755,1.2549413
0.033220965,-0.07162749,1.2431767
0.03241228,-0.01922252,1.1921544
-0.030223358,-0.04774567,1.1403596
0.021705076,-0.014190428,1.1462247
0.04441683,-0.054514654,1.1269867
0.03873155,0.007391413,1.0742266
-0.023031272,-0.03455233,1.0424486
0.03712254,-0.0092376545,1.0309709
-0.027729107,-0.06842613,1.0653993
0.015405205,-0.059559833,1.1132208
0.02757624,-0.08223384,1.1494851
0.020483531,-0.046797957,1.1518184
0.04687234,-0.0018252606,1.1186111
0.0026658,-0.055066574,1.071111
0.017913073,-0.110368006,1.1190704
0.06282564,-0.06280892,1.1380601
0.005489922,-0.06275231,1.1169419
0.037921347,-0.028076835,1.1380515
-0.007733566,-0.023170639,1.0866145
0.010796217,-0.072386175,1.1079148
0.018563155,-0.09442158,1.1564397
0.031978782,-0.08802786,1.2033697
0.016173434,-0.092047326,1.1800786
0.041582096,-0.042672075,1.1455534
-0.019544993,-0.08425027,1.1212943
0.021830946,-0.033463348,1.1377511
-0.0112121,-0.05676152,1.1125729
0.037533883,-0.007660098,1.1238412
-0.012411478,-0.04347444,1.0712961
0.042410012,-0.04017694,1.0934151
-0.017753894,-0.069960706,1.0982419
0.029689513,-0.016024586,1.0483202
-0.024328783,-0.03284705,0.99484605
