x,y,z
1.0,0.0,0.0
0.99895453,-0.0010400972,0.013488799
0.99898607,-0.001074206,0.013481573
0.99899334,-0.0010760891,0.0134813795
0.9990008,-0.0010780188,0.01348127
0.99900824,-0.0010799924,0.013481159
0.9990158,-0.0010820109,0.013481046
0.9990235,-0.0010840737,0.013480932
0.9990312,-0.0010861813,0.013480818
0.999039,-0.0010883342,0.013480701
0.99904686,-0.0010905331,0.013480583
0.99905485,-0.0010927791,0.013480486
0.9990629,-0.0010950718,0.013480424
0.999071,-0.0010974108,0.013480366
0.99907917,-0.0010997968,0.013480311
0.9990874,-0.0011022309,0.013480259
0.99909574,-0.0011047135,0.013480225
0.99910414,-0.0011072379,0.013480262
0.9991126,-0.0011098108,0.013480203
0.9991211,-0.0011124616,0.013480093
0.9991297,-0.0011151473,0.013480074
0.9991383,-0.0011178458,0.01348006
0.9991469,-0.0011205599,0.013480044
0.9991555,-0.0011232926,0.013480028
0.9991641,-0.0011260471,0.01348001
0.99917275,-0.0011288264,0.013479993
0.99918145,-0.0011316334,0.013479973
0.9991901,-0.0011344713,0.013479953
0.9991988,-0.0011373432,0.013479929
0.99920756,-0.0011402545,0.013479905
0.9992164,-0.0011431974,0.01347988
0.99922544,-0.0011463317,0.013479898
0.9992348,-0.0011497403,0.013479919
0.9992445,-0.0011534236,0.013479954
0.99925435,-0.0011571599,0.013480213
0.9992642,-0.0011608192,0.013480491
0.99927396,-0.0011643947,0.013480781
0.99928373,-0.00116788,0.013481082
0.9992935,-0.0011712683,0.013481397
0.9993032,-0.0011745505,0.0134817045
0.999313,-0.001177707,0.013481977
0.9993229,-0.0011807221,0.013482258
0.9993329,-0.0011836134,0.013482458
0.99934286,-0.0011864188,0.013482638
0.9993529,-0.0011891321,0.013482819
0.9993628,-0.001191747,0.013483003
0.99937284,-0.0011942538,0.013483189
0.99938273,-0.0011966462,0.013483378
0.9993927,-0.001198918,0.01348357
0.9994025,-0.0012010052,0.013483762
0.99941224,-0.0012028832,0.0134839555
0.9994219,-0.0012046056,0.013484151
0.99943125,-0.0012061222,0.013484101
0.99944043,-0.0012076057,0.013483956
0.99944955,-0.0012091907,0.013483808
0.99945873,-0.0012110042,0.013483656
0.9994678,-0.001212849,0.013483503
0.9994767,-0.0012147332,0.01348335
0.9994855,-0.0012166649,0.013483197
0.9994942,-0.0012186532,0.013483045
0.9995027,-0.001220707,0.013482893
0.9995112,-0.0012228317,0.013482727
0.9995196,-0.0012249829,0.013482514
0.999528,-0.0012271587,0.013482296
0.99953634,-0.0012293647,0.013482079
0.99954456,-0.0012316921,0.013481966
0.9995527,-0.0012341237,0.0134818
0.99956095,-0.0012365457,0.013481622
0.9995692,-0.001238957,0.013481442
0.99957746,-0.0012413576,0.01348126
0.9995858,-0.0012437477,0.013481078
0.9995942,-0.0012461272,0.013480892
0.9996027,-0.0012484965,0.013480705
0.9996112,-0.0012508555,0.013480516
0.9996197,-0.0012532047,0.013480326
0.9996283,-0.001255544,0.013480133
0.999637,-0.0012578744,0.013479938
0.9996457,-0.001260197,0.01347974
0.9996545,-0.001262512,0.013479541
0.99966335,-0.0012648202,0.013479338
0.9996723,-0.0012671265,0.013479252
0.99968123,-0.0012694545,0.013479196
0.9996902,-0.001271767,0.013479139
0.9996991,-0.0012740638,0.013479082
0.9997081,-0.0012763449,0.013479024
0.99971706,-0.0012786099,0.013478967
0.99972606,-0.0012808588,0.013478911
0.9997351,-0.0012831117,0.013478853
0.9997441,-0.001285348,0.013478796
0.9997532,-0.0012875672,0.013478739
0.99976224,-0.0012897692,0.013478682
0.9997713,-0.001291954,0.013478626
0.99978036,-0.0012941211,0.013478568
0.9997895,-0.0012962706,0.013478511
0.99979854,-0.0012984022,0.013478454
0.9998076,-0.0013005157,0.013478397
0.9998167,-0.0013026108,0.013478341
0.9998258,-0.0013046875,0.013478283
0.9998349,-0.0013067455,0.013478226
0.999844,-0.0013087812,0.013478109
