x,y,z
1.0,0.0,0.0
1.0877075,-0.14366035,0.02085264
1.1525917,-0.2813107,0.04176712
1.1917146,-0.4061784,0.06269722
1.2079356,-0.5140167,0.08366439
1.2091086,-0.62214696,0.20426315
1.2001044,-0.66537356,0.3248875
1.1792367,-0.6814334,0.4455497
1.1575801,-0.6772085,0.56621134
1.1289257,-0.6503299,0.6868696
1.0861795,-0.6135342,0.77473193
1.0382526,-0.5851927,0.88238555
0.99404514,-0.5511303,0.9650874
0.9393509,-0.49909422,1.0133778
0.88921785,-0.45797205,1.0596625
0.82928383,-0.4076961,1.0806442
0.77141964,-0.3475369,1.1016046
0.7098855,-0.32166052,1.1225677
0.6498008,-0.29501465,1.1435206
0.5841952,-0.26597503,1.1645021
0.51820487,-0.25581768,1.1854974
0.4517306,-0.20226836,1.2064441
0.38379592,-0.1446754,1.2273729
0.3185121,-0.080013156,1.2483046
0.25041866,-0.016306208,1.2691995
0.18050607,0.047426183,1.2901293
0.11806327,0.0984877,1.3111012
0.048241228,0.1598486,1.3320622
-0.0062488792,0.11588089,1.3530566
-0.023376968,0.17199254,1.3740551
-0.04030607,0.20798633,1.3950584
-0.027591629,0.16165985,1.4160651
-0.027059013,0.19253011,1.4370745
-0.026833525,0.1565839,1.4580799
-0.0017871135,0.17138016,1.479088
-0.009723059,0.12521493,1.5000749
-0.023036845,0.15339535,1.5210825
-0.021657156,0.15884762,1.542099
-0.016957045,0.15539792,1.5631094
-0.00051311223,0.21176171,1.5840967
-0.016556451,0.15977703,1.6050497
-0.032043133,0.209783,1.6260444
-0.04980203,0.18464503,1.6470435
-0.033950094,0.14442357,1.6680489
-0.0037383062,0.1550767,1.6890445
0.020915475,0.21020092,1.710046
0.0013709518,0.19686249,1.7310519
0.0029989583,0.23879196,1.752036
0.012236755,0.22659463,1.7730466
0.021404278,0.23841725,1.7940598
-0.016505653,0.18364732,1.8150529
0.0054379455,0.23227666,1.8360397
0.008139355,0.27798304,1.8570436
0.00944742,0.29300892,1.8780534
0.017895382,0.2862306,1.8990632
0.0137789855,0.2692302,1.9200792
0.027220812,0.26199105,1.9410765
0.0010320944,0.2072518,1.9620724
0.015105164,0.25955296,1.9830285
0.025318323,0.2968754,2.0
0.04896772,0.2814398,2.0
0.037033577,0.30422163,2.0
0.01842527,0.25793332,2.0
0.0063321493,0.20167233,2.0
0.024676867,0.18451703,2.0
0.048265636,0.1674565,2.0
0.0414267,0.11473868,2.0
0.04531755,0.06833639,2.0
0.05381016,0.04925245,2.0
0.052728605,-0.013773374,2.0
0.10100312,0.03387306,2.0
0.08254226,-0.026825864,2.0
0.1265055,-0.043363262,2.0
0.1339955,-0.04547183,2.0
0.15690544,-0.095625676,2.0
0.11893869,-0.14961524,2.0
0.13166898,-0.20560347,2.0
0.18258171,-0.24359027,2.0
0.20454095,-0.30987528,2.0
-1.3523797,1.9003797,0.0528441
-1.0680622,2.1632874,0.0
-1.0503033,2.1794047,0.0
-1.0686009,2.1788223,0.0
-1.0770009,2.1820583,0.0
-1.0658926,2.1689377,0.0
-1.0919646,2.1658828,0.0
-1.0819528,2.1702604,0.0
-1.094273,2.2060592,0.012017978
-1.0942118,2.2061667,0.0134897
-1.0942142,2.2061656,0.013489684
-1.0942159,2.2061646,0.013487908
-1.0942189,2.2061634,0.013489972
-1.0942206,2.2061625,0.0134878885
-1.0942234,2.2061613,0.013489243
-1.0942259,2.20616,0.013489524
-1.0942284,2.206159,0.013489691
-1.0942302,2.206158,0.01348773
-1.0942326,2.206157,0.013487951
-1.0942354,2.2061558,0.013489669
-1.0942376,2.2061546,0.013489218
