time/total_timesteps,time/time_elapsed,time/fps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,train/policy_gradient_loss,train/explained_variance,train/advantages,train/std,train/entropy_loss,train/loss,train/returns,train/value_loss,train/clip_range,train/n_updates,train/approx_kl,train/learning_rate,train/clip_fraction
2048,29,69,1,-1107.13428785,102.0,,,,,,,,,,,,,
4096,59,68,2,-1971.688988825,102.0,-0.00440655962593155,0.0006666779518127441,-161.69308471679688,1.0001187324523926,-5.677452671527862,79881.0,-161.9281463623047,199763.49270019532,0.2,10,0.0037922082,0.0003,0.021240234375
6144,88,69,3,-2172.8340004,102.0,-0.005928568116360111,0.0011763572692871094,-273.7727355957031,1.0000007152557373,-5.674708883464336,213778.6875,-279.02813720703125,1027070.2949707031,0.2,20,0.0017187974,0.0003,0.010888671875
8192,117,69,4,-1895.8007974500001,102.0,-0.002924978946975898,-0.0017442703247070312,-291.7071533203125,1.0029510259628296,-5.679689100384712,246211.953125,-303.1983337402344,1085329.7622802735,0.2,30,0.0018563103,0.0003,0.00205078125
10240,146,69,5,-2613.18074246,102.0,-0.004079025785176782,-6.35385513305664e-05,-152.45669555664062,1.002001404762268,-5.684650611877442,48715.53125,-173.07911682128906,1064697.0993774415,0.2,40,0.0034824982,0.0003,0.016064453125
12288,175,69,6,-2487.2360125799996,102.0,-0.004621125063567888,5.638599395751953e-05,-461.5473937988281,1.000200629234314,-5.677516448497772,1927223.125,-491.006591796875,5451996.31394043,0.2,50,0.0026719258,0.0003,0.01162109375
14336,204,70,7,-2261.8959397,102.0,-0.009682598533981946,-0.00576329231262207,-60.679832458496094,1.0081530809402466,-5.694837446510792,6336.0234375,-97.31450653076172,11000.850830841064,0.2,60,0.007665593,0.0003,0.075732421875
16384,234,69,8,-1871.6704532400001,102.0,-0.0037852783207199536,-8.678436279296875e-05,-270.7488098144531,1.0068367719650269,-5.705171990394592,193812.46875,-313.9801330566406,371365.34249267576,0.2,70,0.0028182296,0.0003,0.010986328125
18432,263,69,9,-2602.75134369,102.0,-0.00975720098358579,-0.0017616748809814453,-74.10943603515625,1.0190082788467407,-5.733779728412628,6675.126953125,-124.10833740234375,16357.488014221191,0.2,80,0.007007472,0.0003,0.05556640625
20480,293,69,10,-1952.05186404,102.0,-0.0015695356516516768,5.453824996948242e-05,-200.09666442871094,1.0209003686904907,-5.754579113423825,66294.5546875,-255.29824829101562,5571822.935595703,0.2,90,0.000822169,0.0003,0.00087890625
22528,322,69,11,-2026.73961209,102.0,-0.005269791719911154,-0.0007613897323608398,-354.60791015625,1.0205787420272827,-5.756429620087147,361475.625,-417.2132873535156,619724.7666259765,0.2,100,0.0025255955,0.0003,0.01162109375
24576,353,69,12,-2203.1600404700002,102.0,-0.01362539427500451,-0.0013887882232666016,-79.73605346679688,1.0320020914077759,-5.77554005086422,12862.2744140625,-148.96388244628906,42889.48318481445,0.2,110,0.0074201003,0.0003,0.074462890625
26624,382,69,13,-2500.7081554400006,102.0,-0.00655288377602119,7.68899917602539e-06,-588.379638671875,1.0386879444122314,-5.813936223089695,1218846.125,-663.989501953125,1040188.8222167969,0.2,120,0.0030608717,0.0003,0.01689453125
28672,411,69,14,-1668.5339274700004,102.0,-0.006947478026268073,-4.017353057861328e-05,-250.6933135986328,1.0359132289886475,-5.822889818251133,432760.875,-332.70574951171875,1012001.2773849487,0.2,130,0.0026024259,0.0003,0.01357421875
30720,441,69,15,-1445.76421369,102.0,-0.009649998410168337,-0.000186920166015625,-63.7412223815918,1.036847710609436,-5.821300813555718,11755.2744140625,-152.07249450683594,20188.905294799806,0.2,140,0.006264166,0.0003,0.0591796875
32768,471,69,16,-1747.76309277,102.0,-0.0029732139832049143,1.3113021850585938e-06,-54.09381103515625,1.048046588897705,-5.843040435016155,59190.47265625,-148.7255859375,283641.62715072633,0.2,150,0.015584902,0.0003,0.061181640625
34816,502,69,17,-1877.29588063,102.0,-0.003562905389117077,-0.02103555202484131,-167.3727569580078,1.0524606704711914,-5.871439884603023,140578.3125,-265.2091064453125,1940212.6878540039,0.2,160,0.0019766334,0.0003,0.002490234375
36864,532,69,18,-1629.4760196599998,102.0,-0.0027547351906832772,-1.0848045349121094e-05,-328.9205017089844,1.0527671575546265,-5.881566394865513,976096.0,-435.7766418457031,3264599.5737426756,0.2,170,0.001222542,0.0003,0.001171875
38912,562,69,19,-1975.36666196,102.0,-0.008176643679325935,-5.125999450683594e-05,-110.65845489501953,1.0607590675354004,-5.897230020165443,32604.869140625,-223.85121154785156,64311.81327514649,0.2,180,0.005721795,0.0003,0.0439453125
40960,591,69,20,-2553.7465286499996,102.0,-0.0032874663884285837,-0.00015425682067871094,-222.5169677734375,1.0628712177276611,-5.91472073495388,336935.78125,-341.99609375,1167620.721194458,0.2,190,0.0015100453,0.0003,0.00517578125
43008,621,69,21,-4535.826093109999,102.0,0.0007123498857254162,-4.649162292480469e-06,-767.5992431640625,1.0616827011108398,-5.918395547568798,3938768.25,-893.3534545898438,5071878.954437256,0.2,200,0.00093267125,0.0003,0.0052734375
45056,650,69,22,-4066.0448584799997,102.0,-0.00011065565049648285,-1.1920928955078125e-07,-1556.836669921875,1.060278296470642,-5.912192620337009,17110392.0,-1688.863037109375,45007248.40327225,0.2,210,0.0008290725,0.0003,4.8828125e-05
47104,680,69,23,-4486.1871605900005,102.0,-0.005105866710073315,-7.152557373046875e-07,-112.90144348144531,1.072524070739746,-5.948990048468113,95181.4921875,-251.2008514404297,130696.24499053955,0.2,220,0.041611306,0.0003,0.139013671875
49152,711,69,24,-6454.100569910001,102.0,-0.0031426987392478623,-1.049041748046875e-05,-220.25253295898438,1.0727763175964355,-5.954442167282105,590366.625,-364.464111328125,3197705.1947021484,0.2,230,0.00094979873,0.0003,0.00673828125
51200,740,69,25,-6239.33319721,102.0,-0.0007429485514876433,-2.384185791015625e-07,-1101.567626953125,1.0727765560150146,-5.955303400754929,8379584.5,-1252.0220947265625,32516388.87734375,0.2,240,6.3366955e-05,0.0003,0.0
53248,769,69,26,-4226.393744770001,102.0,-0.0014914197367033922,-2.384185791015625e-07,-222.88018798828125,1.073821783065796,-5.958173753321171,1078709.75,-379.5888671875,4919378.729136658,0.2,250,0.00853828,0.0003,0.04052734375
55296,799,69,27,-4123.346646960001,102.0,-0.002811471277527744,-1.1563301086425781e-05,-511.86529541015625,1.074837327003479,-5.955896772444248,1059535.5,-674.7828979492188,1325962.3446548462,0.2,260,0.013440108,0.0003,0.053125
57344,829,69,28,-3769.6259968899994,102.0,-0.009660796508251223,-3.4570693969726562e-06,15.169103622436523,1.091783046722412,-5.990729539096355,1623.73974609375,-153.91561889648438,3038.8408439636232,0.2,270,0.016220791,0.0003,0.2150390625
59392,858,69,29,-1594.7239225100006,102.0,4.94665335281752e-05,-3.0994415283203125e-06,-430.73974609375,1.0921911001205444,-6.026349358260632,544978.0625,-596.757568359375,500716.922644043,0.2,280,0.00086963,0.0003,0.000927734375
61440,887,69,30,-1877.2185123999998,102.0,-0.002046393677301239,-4.0650367736816406e-05,-31.137767791748047,1.087653398513794,-6.013844962418079,12989.9814453125,-203.1693572998047,16006.289469909669,0.2,290,0.0057711266,0.0003,0.06171875
63488,916,69,31,-2304.94123599,102.0,-0.0015476457119802944,-1.1920928955078125e-07,-1161.1231689453125,1.0875215530395508,-6.009293928742409,5359909.5,-1336.6861572265625,5079345.566381836,0.2,300,0.00025450872,0.0003,4.8828125e-05
65536,946,69,32,-2397.4788066100004,102.0,0.00034586906258482486,-3.170967102050781e-05,-452.136474609375,1.0876097679138184,-6.009372079372406,2617861.5,-633.8897094726562,7879868.121995544,0.2,310,0.00025540072,0.0003,0.0009765625
67584,976,69,33,-2229.5529812100003,102.0,-0.002014649586635642,-9.5367431640625e-07,-66.20153045654297,1.0874629020690918,-6.0091013833880424,15085.197265625,-253.9752655029297,34945.55913696289,0.2,320,0.0006738672,0.0003,0.000341796875
69632,1006,69,34,-2263.7132915200004,102.0,-0.0019909982867829966,-1.430511474609375e-06,-47.48611831665039,1.0869238376617432,-6.007884772121907,42348.6484375,-241.50535583496094,124341.38889770508,0.2,330,0.0010774443,0.0003,0.004296875
71680,1035,69,35,-2243.4453596500002,102.0,-0.003757567155116703,-3.5762786865234375e-07,-57.105491638183594,1.0916075706481934,-6.016072736680508,30586.875,-257.3121337890625,57268.02486114502,0.2,340,0.0058445614,0.0003,0.065478515625
