,dir,dist,mean_eps_reward,std_eps_reward,mean_step_reward,distance_travelled
0,x,[0. 0. 0.],-7.9568069636698056,0.0,-0.07956806963669806,4.952082688503052
1,x,[0.05 0.   0.  ],-19.334479299897794,0.0,-0.19334479299897794,5.073548705755121
2,x,[0.1 0.  0. ],-34.85646070726216,0.0,-0.3485646070726216,5.153498662738126
3,x,[-0.  0.  0.],-7.9568069636698056,0.0,-0.07956806963669806,4.985929597060682
4,x,[-0.05  0.    0.  ],-4.694494680239586,0.0,-0.04694494680239586,5.756102056004636
5,x,[-0.1  0.   0. ],-3.3944672528887168,0.0,-0.033944672528887165,6.51625247468864
6,z,[0. 0. 0.],-7.9568069636698056,0.0,-0.07956806963669806,4.854278088665664
7,z,[0.   0.   0.05],-8.982348184741568,0.0,-0.08982348184741568,5.123031996142478
8,z,[0.  0.  0.1],-186.01161286234856,0.0,-1.8601161286234855,6.399858223357566
9,z,[ 0.  0. -0.],-7.9568069636698056,0.0,-0.07956806963669806,4.941184499194451
10,z,[ 0.    0.   -0.05],-8.65280644671293,0.0,-0.0865280644671293,5.543529374621453
11,z,[ 0.   0.  -0.1],-18.769083496183157,0.0,-0.18769083496183156,12.21657679113977
12,xyz,[0. 0. 0.],-7.9568069636698056,0.0,-0.07956806963669806,5.021396630365104
13,xyz,[0.025 0.025 0.025],-12.453479671632522,0.0,-0.12453479671632522,5.123755037899117
14,xyz,[0.05 0.05 0.05],-16.422885049512843,0.0,-0.16422885049512842,4.363103284735331
15,xyz,[-0. -0. -0.],-7.9568069636698056,0.0,-0.07956806963669806,5.1152014019423175
16,xyz,[-0.025 -0.025 -0.025],-6.0080394151300425,0.0,-0.060080394151300426,5.267529429839055
17,xyz,[-0.05 -0.05 -0.05],-4.374614435771946,0.0,-0.04374614435771946,6.216479741466991
