x,y,z
1.0,0.0,0.0
0.8657537,0.11035675,0.15047555
0.6521267,-0.08195355,0.3758383
0.55559963,-0.1484225,0.5074677
0.5129236,-0.08952078,0.5936539
0.45426735,-0.13455746,0.69138825
0.42323485,-0.094186224,0.761234
0.38955098,-0.05739886,0.83056766
0.34681034,-0.06718862,0.90015095
0.2930104,-0.03885981,0.9709961
0.24563925,-0.04958105,1.0407282
0.17464326,-0.09561104,1.0380577
0.13058677,-0.07442907,1.1070226
0.084832825,-0.09429904,1.1380421
0.033137765,-0.068781294,1.1097777
-0.00822416,-0.070739284,1.0888193
-0.020491611,-0.0390872,1.0596153
-0.050081395,-0.08371231,1.0752871
-0.005569588,-0.073057115,1.0463531
-0.030779982,-0.02412731,1.0918626
-0.014664555,0.014822311,1.0898246
-0.04363407,-0.027140995,1.1032269
-0.05213681,-0.027951738,1.0730935
-0.039332215,-0.028438134,1.0694134
-0.030793179,-0.07095564,1.0782615
-0.052681547,-0.038669594,1.058528
-0.056260563,-0.047562376,1.0579109
-0.02228759,-0.0038347454,1.0286367
-0.009539411,-0.061230786,1.0666673
-0.010091348,-0.10070518,1.0735303
-0.031428356,-0.11462154,1.079666
-0.03581356,-0.0545567,1.0492845
-0.029037785,-0.028060427,1.0764623
-0.036624387,-0.07108113,1.0824527
0.0014481029,-0.07577858,1.0528971
-0.0065773353,-0.07854862,1.0518147
-0.0026019372,-0.04646171,1.0597174
-0.012450209,-0.053277977,1.0693985
-0.035754457,-0.04551265,1.0784047
-0.021495849,-0.034118045,1.0543052
-0.014127674,-0.06635309,1.0696596
-0.025041098,-0.1072367,1.0433949
-0.011933708,-0.041603297,1.0507139
-0.012593752,-0.053134352,1.066552
-0.015628427,-0.09506135,1.0642
0.012719524,-0.08332117,1.0517344
-0.0029685148,-0.09070153,1.0483714
-0.02073985,-0.019178892,1.0552975
-0.004266736,-0.027445536,1.0805292
-0.028730126,-0.048191458,1.0921556
-0.047344916,-0.009173238,1.0689816
-0.003266,-0.061932214,1.0669738
0.0125774285,0.00540753,1.0550804
-0.02034551,-0.04435497,1.0639788
-0.055941056,-0.06577381,1.0537753
-0.05290262,0.023771353,1.0727677
-0.009289778,-0.01735031,1.0459714
-0.03434972,-0.0679949,1.0285501
-0.047179602,-0.084755346,0.99837166
-0.042767607,-0.06908358,0.97295904
-0.037822675,-0.037667017,0.98840076
-0.07322947,-0.06799312,0.9635652
0.025918536,0.027320927,0.91620743
0.07818506,-0.08704261,1.0142038
0.020393947,-0.04704468,0.99457675
-0.030331666,-0.054721277,0.9950871
-0.026889445,-0.07080804,0.9869986
-0.046610333,-0.06436633,1.0144838
-0.028344791,-0.06874883,1.035539
-0.04357962,-0.06667829,1.0415457
-0.031896245,-0.042987462,1.0607897
0.023449093,-0.108236276,0.9788922
-0.030620925,-0.08545814,1.0021597
-0.03260184,-0.0087840045,1.0212308
0.009340486,-0.057277594,0.99087477
-0.0149681,-0.061048754,1.0106636
-0.018768,-0.086108014,1.0078274
-0.061706375,-0.0054266676,1.0523139
-0.03570493,-0.02665175,1.0381483
-0.012420349,-0.07630102,1.0375121
-0.009892565,-0.06620987,1.0383099
0.008158291,-0.03803269,0.9949764
-0.0092803985,-0.053776667,1.0068574
-0.021811262,-0.033760864,1.0200125
-0.057621077,-0.07846666,1.0051397
-0.0979891,-0.03602206,0.9783916
-0.027743751,-0.102077,1.0310192
-0.04791468,-0.07081493,1.0408872
-0.036800113,-0.009768985,1.0414487
-0.0087758405,-0.027975488,1.010266
0.0076656807,-0.05392119,0.99597317
-0.010911652,-0.029807294,1.0207162
-0.011533742,-0.010535414,1.0122622
-0.017118463,-0.033145588,1.0096377
-0.002693208,-0.011951132,1.0008223
-0.01624234,-0.049961835,1.0091094
-0.024203159,-0.014660792,1.0131842
-0.025370495,-0.069168724,1.0008972
-0.02958155,-0.038501475,1.0074213
-0.01684845,-0.07608172,1.0036516
