x,y,z
1.0,0.0,0.0
1.0000213,0.00011149941,0.013481967
0.9999663,8.9693334e-05,0.013486199
0.9998777,5.186433e-05,0.01348624
0.85748875,0.04990756,0.023070022
0.6533465,0.19163868,0.11332066
0.42601788,-0.053607017,0.25807413
0.21309991,0.1948617,0.3752375
0.49283388,-0.085555084,0.5275486
0.42587712,-0.047457285,0.4938608
0.32292733,0.06421457,0.5205903
0.12830725,-0.096844584,0.61123043
-0.0014238855,0.12436347,0.68894064
0.20835613,-0.050200745,0.7616439
0.14732413,0.02183886,0.743203
0.06545051,0.09241639,0.7501685
0.18498491,-0.05899169,0.821063
0.11069899,0.061821856,0.82674277
0.019008651,0.06344645,0.82543087
0.16956383,0.2058416,0.8901321
0.06130486,0.13127027,0.8804229
0.016498005,0.024720944,0.89401656
0.06228697,0.049326222,0.8990556
0.02895254,0.007009214,0.9011552
0.11621923,0.054729186,0.9053143
0.042990874,0.061105434,0.8783731
0.013413424,0.017308813,0.87323856
0.09184119,0.07135502,0.8993511
0.025889708,0.0342782,0.8891048
0.0697338,-0.012115226,0.9053843
-0.026168752,0.09037697,0.90914243
0.09052012,-0.014586304,0.9319669
0.013101713,-0.00030732568,0.88594365
0.027010623,0.06731784,0.8772213
0.047984656,0.007110583,0.8856759
0.0787495,0.058823697,0.866343
0.03440591,0.107867114,0.8616953
0.11469303,0.01823703,0.90195024
0.019574692,-0.0049911547,0.9136942
0.03646858,0.05920704,0.90196824
0.11352517,0.14367318,0.9285754
0.059196938,0.08346269,0.90581524
0.06234575,0.050413728,0.8790911
0.116042264,0.0011603965,0.89669955
0.061016712,0.023593523,0.86987543
0.03245091,-0.024030417,0.8927394
0.004179368,0.06631029,0.87482774
0.05559509,0.07173788,0.8479997
-0.030188104,0.19592749,0.8946591
0.108195126,0.045566086,0.9415458
0.049546625,0.0030417077,0.90078664
0.048603363,0.06718438,0.88531417
-0.027848706,0.012871044,0.9075605
0.12691009,0.17748293,0.92883646
0.049423423,0.1035485,0.91276425
0.13911185,-0.015386834,0.92261326
0.082122736,0.03174766,0.89579546
0.038835995,0.050090145,0.8689551
0.06469356,0.10612668,0.87380666
0.080898136,0.047512155,0.8727127
0.025580887,0.061945025,0.85197973
0.095132954,0.19508883,0.8973059
0.033315018,0.10427109,0.87623376
0.030688493,0.06545806,0.85486877
0.11929941,0.111448966,0.8741361
-0.013691182,0.031259518,0.8987886
0.09628621,0.11951392,0.92732763
0.004109342,0.05422101,0.91051394
0.08079107,-0.00839054,0.92159086
0.011900174,0.04262465,0.90430355
0.1058357,0.13502109,0.90235054
0.044419255,0.040970303,0.8864614
0.09811312,0.074993916,0.894105
0.050536595,-0.011293726,0.885522
0.120889775,0.08307369,0.9067952
0.036735207,0.0324833,0.87994754
0.09294358,0.100354925,0.9097178
-0.022426018,-0.010885536,0.9171585
0.036788866,0.046818193,0.87669474
0.08705613,0.12230645,0.8830654
0.031599343,0.092479885,0.8813461
0.05050484,0.064497575,0.86533916
0.0066016978,0.091679655,0.85492766
0.07225775,-0.00910641,0.86837256
-0.029318452,0.07845188,0.8977545
0.077026956,-0.029911174,0.9391911
0.04355228,-0.0008729449,0.9027363
0.071622565,0.024957705,0.89074296
-0.0097889835,0.08170122,0.9003588
0.0498092,0.015922993,0.86923206
0.14225966,0.10826932,0.8844844
0.09387232,0.08608211,0.8584385
0.17431027,0.14671709,0.8984975
0.11304374,0.08769412,0.87169355
0.0041216286,0.009591558,0.88657975
0.09515495,0.095687,0.9148873
0.02841495,0.025228268,0.8880607
0.041206736,0.060038064,0.88065344
0.07021699,0.09862307,0.8832
0.054383755,0.052951556,0.86353344
