x,y,z
1.0,0.0,0.0
1.1232318,0.11829038,0.20424162
0.8913599,0.31581056,0.487878
0.7144645,0.42397398,0.7241355
0.56798595,0.18821935,0.9495538
0.55522555,0.10737052,1.0701455
0.52689433,0.025443811,1.1671895
0.4932328,-0.048324462,1.2366437
0.46004078,-0.0800525,1.2780669
0.4125332,-0.11455418,1.3144534
0.3626865,-0.13036616,1.3354566
0.31149045,-0.10475808,1.3564165
0.2617689,-0.08636359,1.3774178
0.2048972,-0.08538087,1.3984026
0.14935048,-0.086604275,1.4193904
0.090438396,-0.09822387,1.440386
0.040964797,-0.109442264,1.4613658
0.01291608,-0.087633386,1.48235
-0.006997333,-0.07342707,1.5033627
-0.014081741,-0.07907382,1.5243715
-0.056571726,-0.0954827,1.5453788
-0.02578182,-0.06358383,1.5663866
-0.02514397,-0.07696528,1.5873972
-0.0343763,-0.10317813,1.6083987
-0.03454269,-0.12378264,1.6294123
-0.04150855,-0.12480307,1.6504246
-0.054564014,-0.11930507,1.6714394
-0.06660425,-0.12077805,1.6924524
-0.06483316,-0.13592342,1.7134653
-0.0681279,-0.13760291,1.7344791
-0.050923627,-0.119012386,1.7554855
-0.05033837,-0.13889955,1.7764914
-0.053227536,-0.13280006,1.797502
-0.062145982,-0.15370154,1.8185121
-0.076064244,-0.14531174,1.839526
-0.070132494,-0.15378849,1.8605375
-0.052547127,-0.1439941,1.881553
-0.04517999,-0.14266525,1.9025666
-0.053295173,-0.121591255,1.9235834
-0.060715027,-0.11462431,1.9446015
-0.03296101,-0.124403745,1.9656084
-0.027526215,-0.15003096,1.9866157
-0.008354613,-0.16354628,2.0
-0.015805166,-0.20417072,2.0
-0.017189046,-0.19552852,2.0
-0.024146412,-0.18999766,2.0
-0.019627841,-0.17689502,2.0
-0.026422331,-0.16190419,2.0
-0.034136906,-0.15834525,2.0
-0.006366598,-0.12952784,2.0
-0.025718369,-0.11498673,2.0
-0.03455396,-0.10006529,2.0
-0.02159436,-0.08798209,2.0
-0.013778162,-0.078144334,2.0
-0.010016396,-0.066462666,2.0
0.004406537,-0.045400154,2.0
0.020214004,-0.034504164,2.0
-0.0053609093,-0.028727468,2.0
-0.006795313,-0.00980786,2.0
-0.0030014047,-0.013280619,2.0
-0.00048675897,0.031633236,2.0
0.025902487,0.029510453,2.0
0.03970576,0.032147236,2.0
0.029283296,0.063390166,2.0
0.031682853,0.07010031,2.0
0.03653637,0.093029,2.0
0.05189538,0.09227429,2.0
0.050044954,0.07985992,2.0
0.065643445,0.06515784,2.0
0.057183977,0.08912235,2.0
0.050027974,0.065555945,2.0
0.033175617,0.069169626,2.0
0.03183148,0.08398196,2.0
0.08149814,0.093700476,2.0
0.096933834,0.08631429,2.0
0.105895326,0.10285528,2.0
0.118262425,0.11214358,2.0
0.12337824,0.13473588,2.0
0.15206383,0.14754467,2.0
0.14709003,0.16838089,2.0
0.15920126,0.17254661,2.0
0.16585568,0.20527625,2.0
0.17869748,0.2212441,2.0
0.21605866,0.26397967,2.0
0.23610514,0.27804914,2.0
0.25812933,0.31088987,2.0
0.2763679,0.3124974,2.0
0.2677831,0.3438737,2.0
0.31696075,0.36077425,2.0
0.3318666,0.42030683,2.0
0.40455204,0.48769683,2.0
0.46380857,0.44561762,2.0
0.5022211,0.53092176,2.0
0.5826031,0.629196,2.0
0.6586792,0.7380672,2.0
0.7302788,0.6376972,2.0
0.78305846,0.74590576,2.0
0.8476574,0.8471604,2.0
0.9625247,1.0257002,2.0
1.0552545,1.1418885,2.0
