rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/fps,train/policy_gradient_loss,train/value_loss,train/n_updates,train/learning_rate,train/clip_range,train/approx_kl,train/advantages,train/loss,train/std,train/clip_fraction,train/returns,train/entropy_loss,train/explained_variance
-113.32855655,1,102.0,27,2048,74,,,,,,,,,,,,,
-109.824548675,2,102.0,55,4096,74,-0.0067944016096589625,563.7856328725815,10,0.0003,0.2,0.005885496,-12.841602325439453,30.256793975830078,0.990632176399231,0.026953125,-12.912724494934082,-5.657304932177067,0.0019892454147338867
-104.29837831666666,3,102.0,82,6144,74,-0.009640882107487415,168.94773675203322,20,0.0003,0.2,0.007541798,-10.07194995880127,34.86277770996094,0.995710015296936,0.0482421875,-19.102401733398438,-5.6445887863636015,-0.038210272789001465
-98.154051625,4,102.0,110,8192,74,-0.012474365170055535,101.63390316963196,30,0.0003,0.2,0.011598412,-8.97431468963623,30.228721618652344,0.9777745008468628,0.090673828125,-27.70920181274414,-5.621341146528721,-0.019419550895690918
-91.28054087999999,5,102.0,137,10240,74,-0.007954068551043747,103.23821865320205,40,0.0003,0.2,0.008520823,-4.902351379394531,47.39253616333008,0.9715390801429749,0.0716796875,-30.57155418395996,-5.568326953053474,-0.007399201393127441
-81.68438526,6,102.0,165,12288,74,-0.009317960680346005,78.43534017801285,50,0.0003,0.2,0.011587013,0.2716273069381714,33.320350646972656,0.9591875076293945,0.105712890625,-28.419986724853516,-5.530971440672874,-0.002146005630493164
-70.84124088,7,102.0,192,14336,74,-0.013350174491642974,85.75378680229187,60,0.0003,0.2,0.012718026,-0.5188126564025879,43.53402328491211,0.950370192527771,0.114697265625,-29.10603141784668,-5.492324966192245,-0.0003770589828491211
-62.19199787999999,8,102.0,220,16384,74,-0.007146803444629768,69.05328786373138,70,0.0003,0.2,0.011464767,3.8777523040771484,51.52174377441406,0.9399833083152771,0.072900390625,-25.08405876159668,-5.449440017342567,-0.0004748106002807617
-55.11164842000001,9,102.0,248,18432,74,-0.009506143577164039,60.787609815597534,80,0.0003,0.2,0.010243447,0.9083661437034607,31.621091842651367,0.9350734949111938,0.09033203125,-26.310550689697266,-5.415843263268471,-0.000616908073425293
-49.91343540999999,10,102.0,275,20480,74,-0.00856757924411795,50.79568874835968,90,0.0003,0.2,0.011137037,1.7673871517181396,20.935779571533203,0.9296548366546631,0.0951171875,-23.562971115112305,-5.39424043148756,-0.00018835067749023438
-43.82208521999999,11,102.0,303,22528,74,-0.010767642339487793,45.63870128393173,100,0.0003,0.2,0.010615665,0.9119507670402527,20.399778366088867,0.9254512786865234,0.10322265625,-22.344581604003906,-5.373367756605148,-0.0001741647720336914
-39.01325255,12,102.0,330,24576,74,-0.0066139837363152765,34.156894880533216,110,0.0003,0.2,0.010687923,1.824540376663208,12.2100248336792,0.9145177006721497,0.082763671875,-19.697786331176758,-5.343313504755497,-9.179115295410156e-05
-34.64688896,13,102.0,358,26624,74,-0.007856821700988803,25.27117912173271,120,0.0003,0.2,0.011005344,2.8043928146362305,13.838164329528809,0.9134437441825867,0.091748046875,-16.377403259277344,-5.313185887038708,-7.796287536621094e-05
-31.53058854,14,102.0,385,28672,74,-0.008434894910897129,22.485058784484863,130,0.0003,0.2,0.009054922,1.842360019683838,13.258953094482422,0.9002758264541626,0.0736328125,-15.143170356750488,-5.287447264790535,-4.8041343688964844e-05
-28.37801769,15,102.0,413,30720,74,-0.009822140194592066,19.26297781318426,140,0.0003,0.2,0.00970112,0.9168121814727783,7.416110992431641,0.9015586376190186,0.11318359375,-14.539647102355957,-5.259133815765381,-3.337860107421875e-05
-26.793201150000005,16,102.0,440,32768,74,-0.009091278370760847,15.578938755393029,150,0.0003,0.2,0.01134022,1.7154780626296997,7.332054138183594,0.8868796825408936,0.097265625,-12.679096221923828,-5.229360468685627,-4.00543212890625e-05
-25.315186659999995,17,102.0,468,34816,74,-0.008807978080585598,14.191538022458554,160,0.0003,0.2,0.010415311,1.0046710968017578,9.116747856140137,0.8798115849494934,0.096240234375,-12.088573455810547,-5.17834688872099,-4.017353057861328e-05
-23.416515670000003,18,102.0,495,36864,74,-0.006836586665303912,11.469866715371609,170,0.0003,0.2,0.009575135,0.3839452266693115,3.9307894706726074,0.8794721364974976,0.079052734375,-11.71243953704834,-5.163065142929554,-2.8848648071289062e-05
-21.70299926,19,102.0,522,38912,74,-0.007854575835517607,8.3805339820683,180,0.0003,0.2,0.008088547,0.8573751449584961,2.6523196697235107,0.8760146498680115,0.0884765625,-10.194865226745605,-5.15266617834568,-3.0040740966796875e-05
-20.56890196,20,102.0,550,40960,74,-0.011208559760416393,8.119641096144914,190,0.0003,0.2,0.013526745,0.8306312561035156,3.8291919231414795,0.8639929294586182,0.119775390625,-9.266603469848633,-5.114877040684223,-1.9550323486328125e-05
-19.25793998,21,102.0,577,43008,74,-0.007958668006904191,6.961785916239023,200,0.0003,0.2,0.009297069,0.9249834418296814,3.499128818511963,0.8579870462417603,0.08583984375,-8.534965515136719,-5.074056892096996,-1.919269561767578e-05
-18.15873249,22,102.0,605,45056,74,-0.00894704627316969,6.08063777834177,210,0.0003,0.2,0.009768388,0.37482786178588867,2.4515459537506104,0.8517708778381348,0.124755859375,-8.482179641723633,-5.047498494386673,-2.6702880859375e-05
-17.335707030000002,23,102.0,632,47104,74,-0.011553579950123094,5.420150035619736,220,0.0003,0.2,0.011232939,0.5161057710647583,2.3489158153533936,0.8476522564888,0.110693359375,-7.73646879196167,-5.020514146983624,-1.1563301086425781e-05
-16.47544365,24,102.0,660,49152,74,-0.009262611452140846,4.873308055847883,230,0.0003,0.2,0.011540333,0.7316572070121765,2.0900719165802,0.8352869749069214,0.11806640625,-6.967841148376465,-4.9821540609002115,-1.2993812561035156e-05
-15.511490920000002,25,102.0,687,51200,74,-0.007821486631291919,4.037048987671733,240,0.0003,0.2,0.009915691,0.04926343262195587,1.406229853630066,0.8241217732429504,0.08740234375,-7.151360511779785,-4.9240918278694155,-1.5854835510253906e-05
-14.715136639999999,26,102.0,715,53248,74,-0.008987984247505664,3.6285384092479944,250,0.0003,0.2,0.0102610225,0.56113600730896,1.406727910041809,0.815272331237793,0.101806640625,-6.223466873168945,-4.877481901645661,-1.7642974853515625e-05
-14.080658620000001,27,102.0,742,55296,74,-0.010221963656658773,3.3619071781635284,260,0.0003,0.2,0.008977491,0.03354597091674805,1.3566830158233643,0.8096191883087158,0.0978515625,-6.349602222442627,-4.842841801047325,-2.2649765014648438e-05
-13.33748468,28,102.0,770,57344,74,-0.009083608636865392,2.9366731151938437,270,0.0003,0.2,0.0101094525,0.26674795150756836,1.664075255393982,0.7982816696166992,0.114013671875,-5.745917320251465,-4.7994968190789224,-1.3828277587890625e-05
-12.89370371,29,102.0,798,59392,74,-0.006140677953953855,2.4245670553296805,280,0.0003,0.2,0.006468927,0.6167932152748108,1.1115713119506836,0.7905162572860718,0.0732421875,-4.983335971832275,-4.749579475820065,-1.5735626220703125e-05
-12.421198920000002,30,102.0,825,61440,74,-0.01364529959682841,2.519010175950825,290,0.0003,0.2,0.013588917,0.3346211612224579,1.5337566137313843,0.7726223468780518,0.119482421875,-4.844174385070801,-4.680833801627159,-2.1219253540039062e-05
-11.697492530000002,31,102.0,853,63488,74,-0.010881861329835374,2.181207592226565,300,0.0003,0.2,0.01063681,0.19992518424987793,0.7690137028694153,0.7602876424789429,0.11875,-4.829025745391846,-4.602708148956299,-1.33514404296875e-05
-11.222437879999998,32,102.0,880,65536,74,-0.007149968767771497,1.7532591715455055,310,0.0003,0.2,0.009126122,0.6846473813056946,1.166452407836914,0.7535489797592163,0.093701171875,-4.085363864898682,-4.551148362457752,-1.1920928955078125e-05
-10.872036549999997,33,102.0,908,67584,74,-0.010831222374690697,1.6740192694589495,320,0.0003,0.2,0.010480264,0.43211305141448975,0.9052298069000244,0.7494246363639832,0.12060546875,-4.01448392868042,-4.520935766398907,-1.0132789611816406e-05
-10.19911757,34,102.0,935,69632,74,-0.008312332848436198,1.4888170780614018,330,0.0003,0.2,0.010354558,0.12133380770683289,0.5134698748588562,0.7416179180145264,0.1033203125,-4.0743513107299805,-4.491691060364246,-1.0848045349121094e-05
-9.49661691,35,102.0,963,71680,74,-0.010656918348104227,1.4411996299400927,340,0.0003,0.2,0.011828162,0.09421443194150925,0.4948837459087372,0.7257142663002014,0.1240234375,-3.8905415534973145,-4.422904455661774,-9.417533874511719e-06
-9.189593129999999,36,102.0,990,73728,74,-0.009659886905865278,1.0998452486470343,350,0.0003,0.2,0.011888167,0.20543959736824036,0.7215335965156555,0.7277804017066956,0.104248046875,-3.6261954307556152,-4.388380053639412,-9.417533874511719e-06
-8.922682589999999,37,102.0,1018,75776,74,-0.007129075562988874,1.0897758733481169,360,0.0003,0.2,0.011807444,0.08058362454175949,0.5592726469039917,0.7210667133331299,0.104638671875,-3.4202146530151367,-4.372169683873653,-1.1324882507324219e-05
-8.63577469,38,102.0,1045,77824,74,-0.008024923206539825,1.0327959150075912,370,0.0003,0.2,0.0092167035,0.2103985846042633,0.7340448498725891,0.7207357287406921,0.09189453125,-3.172598361968994,-4.353806905448437,-1.2993812561035156e-05
-8.138755410000002,39,102.0,1073,79872,74,-0.014382344458135776,0.991050009895116,380,0.0003,0.2,0.014289467,-0.036897577345371246,0.379734069108963,0.7037355899810791,0.15595703125,-3.266216993331909,-4.296856500208378,-9.179115295410156e-06
-8.011823090000002,40,102.0,1102,81920,74,-0.007691017986508087,0.7791878486983478,390,0.0003,0.2,0.010551126,0.29869428277015686,0.3942737579345703,0.7021487355232239,0.1142578125,-2.8229260444641113,-4.247095319628715,-8.821487426757812e-06
-7.608994830000001,41,102.0,1130,83968,74,-0.006746829859912396,0.7590775672346354,400,0.0003,0.2,0.008565398,0.21964173018932343,0.25788211822509766,0.6909592747688293,0.088916015625,-2.691425085067749,-4.204897497594357,-1.0013580322265625e-05
-7.29183674,42,102.0,1157,86016,74,-0.008869590813992545,0.6933100604452193,410,0.0003,0.2,0.0096600875,0.20843259990215302,0.42650097608566284,0.6878129839897156,0.113916015625,-2.5348448753356934,-4.163451310992241,-1.0371208190917969e-05
-6.956856339999999,43,102.0,1185,88064,74,-0.008909613934520166,0.6088764952030032,420,0.0003,0.2,0.010163027,0.14184194803237915,0.29313573241233826,0.6804648637771606,0.106298828125,-2.419599771499634,-4.132314699888229,-6.9141387939453125e-06
-6.86663997,44,102.0,1212,90112,74,-0.006987473775370745,0.574032650468871,430,0.0003,0.2,0.0099895755,0.18028566241264343,0.29595252871513367,0.6726582050323486,0.103515625,-2.3176541328430176,-4.08904924839735,-8.463859558105469e-06
-6.699252209999998,45,102.0,1240,92160,74,-0.008665241940616398,0.5601163906976581,440,0.0003,0.2,0.012849875,0.08498778939247131,0.3161846399307251,0.6662073731422424,0.1263671875,-2.2842183113098145,-4.046204049885273,-9.655952453613281e-06
-6.56891881,46,102.0,1267,94208,74,-0.00717555806186283,0.5406096163205802,450,0.0003,0.2,0.009271632,0.1025371104478836,0.1806103140115738,0.657414972782135,0.1029296875,-2.1939239501953125,-3.9961872078478335,-8.106231689453125e-06
-6.331750990000001,47,102.0,1295,96256,74,-0.008341400039353176,0.4976427115965635,460,0.0003,0.2,0.008966981,0.13116641342639923,0.2730146646499634,0.6501472592353821,0.114208984375,-2.0632057189941406,-3.9434742249548433,-1.0013580322265625e-05
-6.071069080000001,48,102.0,1323,98304,74,-0.0076437578660261355,0.4325844576582313,470,0.0003,0.2,0.008574158,0.13682620227336884,0.12949039041996002,0.6424568295478821,0.113134765625,-1.9118434190750122,-3.898290993273258,-9.894371032714844e-06
-5.75111387,49,102.0,1350,100352,74,-0.00857465109875193,0.36405975837260485,480,0.0003,0.2,0.010536397,0.2176666259765625,0.2778465449810028,0.6328385472297668,0.1310546875,-1.7285233736038208,-3.8420992977917194,-8.225440979003906e-06
-5.511909509999998,50,102.0,1378,102400,74,-0.005617316160351038,0.33840147736482323,490,0.0003,0.2,0.01044506,0.15919683873653412,0.2897953689098358,0.6276149749755859,0.12333984375,-1.6741280555725098,-3.796037073433399,-9.417533874511719e-06
-5.2414036500000005,51,102.0,1405,104448,74,-0.010719489354960388,0.3222293406026438,500,0.0003,0.2,0.011332828,0.11658250540494919,0.13709302246570587,0.6210756301879883,0.143896484375,-1.5884299278259277,-3.7509411610662937,-8.821487426757812e-06
-5.010633580000001,52,102.0,1433,106496,74,-0.012630816303135362,0.3079710841178894,510,0.0003,0.2,0.013343014,0.04085239768028259,0.20261430740356445,0.610586404800415,0.13232421875,-1.616336464881897,-3.6965505339205267,-8.106231689453125e-06
-4.82737176,53,102.0,1460,108544,74,-0.008574459097144427,0.26706344389822334,520,0.0003,0.2,0.011934678,0.029105987399816513,0.05152300000190735,0.6075277328491211,0.1353515625,-1.5472021102905273,-3.647493001818657,-6.4373016357421875e-06
-4.64979613,54,102.0,1488,110592,74,-0.008743418053200003,0.2409549483912997,530,0.0003,0.2,0.010300153,0.19297930598258972,0.13247936964035034,0.5997319221496582,0.104541015625,-1.2922887802124023,-3.6038122601807117,-8.106231689453125e-06
-4.46304429,55,102.0,1515,112640,74,-0.008293852512724697,0.21087565638590605,540,0.0003,0.2,0.010976368,0.09676394611597061,0.07253269106149673,0.5916758179664612,0.1333984375,-1.2704803943634033,-3.543447119742632,-7.033348083496094e-06
-4.254387230000001,56,102.0,1543,114688,74,-0.01644659769372083,0.20413829144090415,550,0.0003,0.2,0.021249957,0.0783870592713356,0.07089515775442123,0.5875838994979858,0.182080078125,-1.2259361743927002,-3.5047339729964735,-7.152557373046875e-06
-4.078877500000001,57,102.0,1570,116736,74,-0.006487416074378416,0.18787817938718945,560,0.0003,0.2,0.0106609445,0.05042747035622597,0.053737230598926544,0.58396977186203,0.139306640625,-1.1868820190429688,-3.47838793694973,-7.62939453125e-06
