x,y,z
1.0,0.0,0.0
0.89011484,-0.09615579,0.12093874
0.791941,-0.013211459,0.25218898
0.67610717,-0.09817212,0.3983817
0.6031923,-0.026736995,0.51067376
0.51202023,0.037723184,0.6362059
0.42171985,-0.059921104,0.76323444
0.39227661,-0.019045984,0.812871
0.35943183,-0.003409365,0.8500795
0.3106028,0.0011499384,0.88924927
0.26883408,-0.0075408053,0.90726566
0.22777002,0.0075323307,0.91279364
0.18159965,0.000354435,0.9285627
0.13603866,0.0093442025,0.93185055
0.08900056,0.043123305,0.9309667
0.035679717,0.03329593,0.9341749
-0.015901381,0.02366388,0.92331034
-0.061731223,0.024980184,0.91116726
-0.083025336,0.014867972,0.9021172
-0.087318845,0.009016716,0.8880413
-0.08713525,0.028707318,0.8744353
-0.08046125,0.026622722,0.86842626
-0.07710641,0.012481018,0.8692199
-0.076253325,0.022077281,0.86024183
-0.06422192,0.036398206,0.86011535
-0.074535646,0.037534416,0.85418016
-0.05325964,0.047661576,0.86036277
-0.069812626,0.016262451,0.8508428
-0.049070273,0.032517098,0.85134965
-0.055923954,0.04510191,0.8500417
-0.07919362,0.04016215,0.8361289
-0.055448826,0.030326705,0.82848734
-0.039945237,0.055132095,0.8309669
-0.066065766,0.041787583,0.8209
-0.039192367,-0.007395954,0.8131532
-0.050382294,0.02579893,0.8094473
-0.055099852,-0.003988514,0.80957377
-0.04410671,0.033556692,0.81050754
-0.036617685,0.042921636,0.81968176
-0.041294266,0.041692764,0.82713324
-0.04287966,0.009388333,0.83301
-0.037169375,0.0059338706,0.833845
-0.043895688,0.035371337,0.8322838
-0.05009516,0.013235795,0.8354431
-0.052714363,0.033442255,0.83510375
-0.06790143,0.03827806,0.82985014
-0.05377614,0.011886834,0.8261146
-0.051485725,0.043009512,0.82651156
-0.06713541,0.03879934,0.8235467
-0.047332842,0.036223594,0.8232502
-0.06783326,0.0111471675,0.8146927
-0.035731945,0.026296759,0.8207646
-0.05189751,0.020251967,0.81570446
-0.016580937,0.0279583,0.8183411
-0.03463756,0.0010977959,0.8223058
-0.029331258,-0.00916972,0.8279961
-0.039965544,-0.0060296603,0.8304901
-0.05480196,0.030588796,0.8253747
-0.07167269,-0.002176602,0.81479627
-0.04437162,0.020984108,0.81514364
-0.046478614,0.037121728,0.81751275
-0.055868257,0.033641342,0.8135065
-0.046946958,0.0034482428,0.81459963
-0.03897503,0.030245097,0.81997037
-0.06427909,-0.0069243545,0.806694
-0.04597126,-0.008115236,0.80604315
-0.0290919,0.0007327917,0.8052719
-0.015032243,-0.0032851594,0.81578624
-0.020892752,0.03067039,0.8196387
-0.03738182,0.021233173,0.82637936
-0.05044844,0.005848145,0.83060026
-0.04487566,0.03746104,0.8293545
-0.056968693,0.009459739,0.82795167
-0.057155862,0.006433133,0.8252361
-0.050183117,0.035514403,0.82316816
-0.06719386,0.03645283,0.81653893
-0.05654283,0.041310724,0.81720966
-0.029168539,0.037380293,0.8152492
-0.05642602,0.016593575,0.81081164
-0.032707307,-0.0038849355,0.8100054
-0.034720488,0.029547457,0.81188005
-0.04360569,0.044487722,0.8105498
-0.052169655,0.038219858,0.8122036
-0.043994635,0.014349857,0.8038523
-0.03749991,0.00439096,0.808778
-0.04179458,0.009504428,0.8085921
-0.0468534,0.03145991,0.80708265
-0.043088805,0.039394088,0.8134647
-0.05412987,-0.00041863657,0.8142436
-0.04013148,-0.004118298,0.8146097
-0.03802728,-0.0043662544,0.81485474
-0.040562276,0.019488158,0.816188
-0.04822876,0.044604573,0.81825745
-0.06322198,0.016442185,0.8095243
-0.035111915,0.04609695,0.8150626
-0.0671504,0.023363862,0.8069896
-0.043959655,0.0027190025,0.8070076
-0.061218254,0.038233098,0.8011214
-0.077352196,0.033214763,0.79450065
-0.025589284,0.08984665,0.7710283
