x,y,z
1.0,0.0,0.0
6.0,-0.04973624,0.0
6.0,-0.5423367,0.14888391
6.0,-0.6601935,0.41694197
6.0,-0.07464166,0.39371186
4.8852353,0.0023115512,0.0612873
4.384772,-0.43472105,0.056418035
5.1202645,-0.18695052,0.0
4.992354,-0.16038087,0.0
4.9539633,-0.1574554,0.0
5.2027645,-0.27076805,0.0
5.0900216,-0.42282572,0.0
5.024124,-0.6292833,0.0
5.2588496,-0.9920892,0.0
5.2584596,-0.9913676,0.013488004
5.2584653,-0.9913648,0.013490235
5.2584715,-0.9913609,0.013489975
5.258478,-0.9913567,0.013489918
5.2584844,-0.99135274,0.013490272
5.258491,-0.99134856,0.013489917
5.2584977,-0.99134463,0.013490272
5.258504,-0.9913404,0.013489916
5.2585106,-0.9913365,0.013490271
5.2585173,-0.9913323,0.013489916
5.2585144,-0.99135184,0.01349027
5.2585106,-0.99137336,0.0134905875
5.2585073,-0.99139434,0.013490385
5.258503,-0.9914162,0.013490153
5.2584996,-0.99143636,0.013490423
5.2584944,-0.99145806,0.013490585
5.25849,-0.99147964,0.013490147
5.2584863,-0.99150103,0.013490145
5.2584825,-0.99152136,0.01348998
5.258478,-0.9915439,0.013490635
5.258472,-0.9915592,0.013487319
5.258462,-0.99156135,0.013487241
5.258452,-0.99156356,0.013487239
5.258442,-0.9915657,0.0134872375
5.258432,-0.99156785,0.013487237
5.258422,-0.99157006,0.013487235
5.2584114,-0.9915722,0.013487233
5.2584014,-0.9915744,0.013487231
5.2584066,-0.991628,0.013487958
5.258413,-0.99169433,0.013487962
5.2584195,-0.9917607,0.013487966
5.2584257,-0.9918269,0.0134879695
5.258432,-0.99189305,0.013487973
5.258438,-0.99195915,0.013487977
5.2584443,-0.9920252,0.013487981
5.25845,-0.9920912,0.013487984
5.258456,-0.99215704,0.013487988
5.258462,-0.99222285,0.013487993
5.258467,-0.9922886,0.0134879965
5.258473,-0.9923542,0.013488
5.2584786,-0.99241984,0.013488005
5.258484,-0.9924853,0.013488009
5.258489,-0.99255073,0.013488013
5.2584944,-0.99261606,0.013488017
5.2572336,-0.9947731,0.0133306
5.2572703,-0.99477863,0.013488477
5.2572584,-0.9947268,0.013489241
5.257246,-0.9946731,0.013489244
5.257234,-0.9946197,0.013489245
5.257222,-0.9945667,0.013489248
5.2572103,-0.9945139,0.013489251
5.257199,-0.99446154,0.013489253
5.2571874,-0.9944094,0.013489256
5.257176,-0.9943576,0.013489258
5.2571645,-0.994306,0.013489259
5.2571535,-0.99425477,0.013489262
5.257142,-0.99420387,0.013489264
5.257131,-0.9941532,0.013489266
5.2571206,-0.9941028,0.013489268
5.2571096,-0.9940527,0.01348927
5.257099,-0.9940029,0.0134892715
5.2570887,-0.9939533,0.013489273
5.257078,-0.99390405,0.013489275
5.2570677,-0.993855,0.013489276
5.2570577,-0.99380624,0.013489278
5.2570477,-0.9937578,0.01348928
5.2570376,-0.99370956,0.013489281
5.257031,-0.9936463,0.013486891
5.257024,-0.99358374,0.013486914
5.257017,-0.9935217,0.013486938
5.25701,-0.99346006,0.013486962
5.2570033,-0.99339896,0.013486985
5.2569966,-0.99333835,0.013487008
5.25699,-0.9932782,0.013487032
5.2569838,-0.9932185,0.013487055
5.256977,-0.99315923,0.013487077
5.256971,-0.99310046,0.0134871
5.2569647,-0.9930421,0.013487122
5.256959,-0.99298424,0.013487143
5.256953,-0.9929268,0.013487165
5.256947,-0.99286973,0.013487186
5.256941,-0.99281317,0.013487208
5.255663,-0.9929714,0.013228373
5.2557654,-0.9930503,0.013427839
5.2558126,-0.9930649,0.01348839
5.2558274,-0.99312437,0.013488374
