x,y,z
1.0,0.0,0.0
0.8797487,-0.06425717,0.08282428
0.76080465,-0.12019642,0.17711434
0.65091014,-0.10422466,0.26940364
0.5367687,0.016880903,0.36217156
0.44004622,-0.100562274,0.45820042
0.35109356,-0.0038786833,0.5377544
0.24822156,-0.08908475,0.63167065
0.21592724,-0.03242003,0.6745849
0.166898,-0.037806593,0.7137712
0.16146545,-0.043669436,0.722379
0.12973559,-0.010590661,0.7167165
0.05933933,-0.051814802,0.737112
0.05880702,-0.034591492,0.726204
0.050543647,-0.036650542,0.71667886
0.037105292,-0.014996059,0.71288264
-0.01661968,-0.050510988,0.74409914
0.04682765,-0.0025894365,0.7791857
-0.018628294,-0.052813914,0.8094575
-0.039099474,-0.017236937,0.8151912
-0.005503047,-0.035560284,0.80223024
0.004342625,-0.049365923,0.7844442
-0.007485844,-0.020646764,0.7647699
-0.020607298,-0.049040265,0.76735723
0.008461452,-0.059840456,0.7601184
0.025967844,-0.049383555,0.7473975
0.03624609,-0.051679246,0.74058056
0.03951729,-0.054946583,0.73361874
0.016062237,-0.043671515,0.7254378
0.0015981095,-0.037756294,0.71136945
0.037260145,-0.056554753,0.7199129
0.018680444,-0.030502519,0.7136212
0.00077376777,-0.0674428,0.7308021
0.022488324,-0.0562724,0.71852714
0.044509176,-0.048390318,0.7150231
0.025916472,-0.04592629,0.71676475
0.006536062,-0.03465945,0.70549554
0.031131148,-0.024833329,0.7032681
0.029914036,-0.040015414,0.70496863
0.045225885,-0.05746672,0.71992767
0.03824892,-0.04873103,0.71913517
0.031359736,-0.049098134,0.71875656
0.023078745,-0.06211515,0.7316779
0.039631035,-0.04836511,0.7223543
0.014538788,-0.040680684,0.7172192
0.019072507,-0.033928774,0.70616335
-0.0049681077,-0.020629758,0.7141541
0.029540615,-0.030812183,0.73304117
-0.0056132334,-0.033579677,0.74169147
0.009072652,-0.050505284,0.74989545
-0.041001987,-0.016549472,0.75545186
1.1097278e-05,-0.048747428,0.75527763
0.014639826,-0.050230388,0.7441656
0.013010417,-0.041030694,0.7315957
0.029849818,-0.05027631,0.73030335
0.027030615,-0.040054753,0.7184697
0.03016564,-0.033396732,0.7131038
0.018015213,-0.030227022,0.714072
0.028253568,-0.036912985,0.71573716
0.00045294568,-0.049702495,0.7106869
-0.011638203,-0.028545206,0.6945632
0.016135197,-0.043186564,0.71428823
-0.01980974,-0.019760543,0.73735315
-0.006322577,-0.029617546,0.771688
-0.053675216,0.0011356731,0.7929264
-0.0026070124,-0.07050545,0.8160149
-0.041198965,-0.008848082,0.78393936
-0.035691936,0.008382069,0.784216
-0.1030099,-0.065808445,0.8100211
-0.03276412,-0.010835837,0.75570065
-0.05575706,-0.025994867,0.76287407
-0.0143459365,-0.042318884,0.77906555
-0.03354869,-0.027854275,0.77591264
-0.0190392,-0.045614157,0.7638787
-0.0030166248,-0.05473097,0.7563751
0.024246596,-0.058883425,0.7470277
0.03925742,-0.051468633,0.7403371
0.026138986,-0.05197206,0.7329669
0.041690666,-0.054761957,0.7328719
0.020942988,-0.02303898,0.72325724
0.0086229,-0.055850763,0.73678964
0.023306595,-0.05724439,0.72777873
0.035661705,-0.043630145,0.7170954
0.037414946,-0.031999502,0.71417576
-0.013356396,-0.014472792,0.7230232
0.04198234,-0.07069835,0.7603813
-0.012025723,-0.03221796,0.78261924
0.03191729,-0.061694097,0.8047367
-0.0033824889,-0.02723116,0.7939631
-0.049204223,-0.027721865,0.8022921
0.0018930865,0.005598005,0.8069482
-0.07649583,-0.016221346,0.83454514
-0.027282042,-0.02367088,0.803791
-0.07858947,0.032972366,0.80812013
-0.040332478,-0.022338627,0.82698256
-0.022326143,-0.00092965795,0.8322674
-0.04269773,-0.027276443,0.8363026
-0.06857649,-0.019748813,0.81647635
-0.009301901,-0.058266528,0.8224315
-0.06829027,-0.011645626,0.78195196
