x,y,z
1.0,0.0,0.0
0.90766746,-0.100051604,0.027342068
0.80417854,-0.15274167,0.05730128
0.6821549,-0.045246255,0.10340925
0.5467125,-0.1424347,0.1651099
0.47010478,-0.022175377,0.21775429
0.41598022,-0.14245613,0.28113115
0.37064525,-0.004704367,0.3342907
0.28804484,-0.12598523,0.40996638
0.413968,-0.015969956,0.45043632
0.35149345,-0.12176773,0.49579448
0.33105135,-0.035150055,0.49984038
0.27433783,-0.12170157,0.5486752
0.29025045,-0.07534433,0.53222734
0.2848582,-0.020884383,0.5322994
0.26844203,-0.07337254,0.54530674
0.24768166,-0.043850236,0.53132296
0.19437298,0.024317266,0.5454046
0.10982773,-0.11647328,0.6141988
0.18964246,-0.057460178,0.5911415
0.15832901,-0.022827009,0.6091994
0.13556528,-0.07845329,0.6393574
0.20372678,-0.01695961,0.6331681
0.14486556,-0.048922393,0.65326685
0.22489622,-0.060967002,0.6577326
0.18158326,-0.0075200074,0.6485225
0.12505257,-0.099254146,0.6793947
0.16336903,-0.06496791,0.6525294
0.15829492,-0.03394826,0.6291444
0.1763199,-0.006834154,0.6249789
0.13752002,-0.054062713,0.62831956
0.18747342,-0.0032653837,0.6198237
0.08209072,-0.09190659,0.6598468
0.1801083,-0.020775294,0.64725846
0.15937506,-0.035219707,0.65217537
0.14065078,-0.046091504,0.66001076
0.18368366,-0.013205959,0.65427935
0.15226823,-0.052342877,0.65719587
0.124236,-0.028563945,0.6479117
0.19494174,-0.0329455,0.6451754
0.12862866,-0.0038131233,0.64831895
0.08848856,-0.049766563,0.67250264
0.1794627,-0.05477938,0.667018
0.15695691,0.0044750334,0.6573206
0.15269491,-0.01638182,0.65188146
0.14491919,-0.045207344,0.6547753
0.087503605,0.022906573,0.65925723
0.20473093,-0.06289626,0.6920231
0.1432049,0.0069408733,0.69412243
0.058188267,-0.048102137,0.71673846
0.11979597,-0.022245847,0.7021891
0.11526482,0.00017939194,0.6853145
0.11059816,-0.0096556395,0.6735244
0.068131596,-0.0665779,0.6876997
0.14400598,-0.028122267,0.66065925
0.14582668,-0.047272347,0.66083306
0.1910407,-0.008247471,0.64546525
0.11209869,-0.075331956,0.6679671
0.14443378,-0.05097194,0.6535861
0.1185546,-0.025211912,0.6410493
0.18522781,-0.022292195,0.6436728
0.13095164,0.01271979,0.6427855
0.19021305,-0.04277921,0.64327574
0.17933889,-0.038902316,0.61834806
0.16874741,-0.029976903,0.6051283
0.22495095,-0.095915094,0.6283125
0.15218712,-0.07306734,0.60071176
0.11552847,-0.008356095,0.58829284
0.1607026,-0.052834906,0.61159396
0.18679368,0.021292405,0.6327332
0.11938068,-0.03668993,0.6557168
0.14387012,-0.0060208314,0.65565425
0.19838692,-0.05356771,0.6596296
0.14608489,-0.0418747,0.63283676
0.12177417,-0.01640995,0.6293801
0.17333177,-0.06486256,0.6292904
0.16050462,-0.054687016,0.60701036
0.17939672,-0.043758456,0.58697706
0.1518458,-0.07474913,0.58064336
0.20349182,-0.040795106,0.5766229
0.16598094,-0.032496948,0.5729732
0.19659369,-0.06343147,0.58268124
0.13907894,-0.0143077085,0.59279406
0.20826676,-0.056792025,0.59548783
0.169343,-0.030258996,0.5857098
0.21145228,-0.08093459,0.58487874
0.16404271,-0.05984165,0.5615911
0.16953368,-0.034417085,0.55355686
0.09299291,-0.07522907,0.5708713
0.19881319,0.0019220964,0.5803646
0.13139902,-0.08067141,0.61437446
0.21194704,-0.02642133,0.619565
0.17725737,0.023093514,0.6187647
0.26926932,-0.07857439,0.6576718
0.17549711,-0.032354057,0.6577158
0.17109926,-0.05122618,0.63632
0.15674256,-0.033185378,0.6200429
0.20391771,-0.065798976,0.6276814
0.16768727,-0.017608339,0.6219671
0.117188394,-0.065954626,0.63872695
